case,N,pair,c,seed_for_routing,V_F0,V_Fi,V_Fj,V_Fij,gamma,V_oper_F0,V_oper_Fi,V_oper_Fj,V_oper_Fij,routing_F0,routing_Fi,routing_Fj,routing_Fij
largest_mean_gamma_learn_positive,100,photo-sketch,,0,0.791974288385902,0.6944911722367266,0.4265450318680905,0.7584714993775362,0.4294095836586211,,,,,,,,
smallest_mean_gamma_learn,25,photo-art_painting,,0,0.791974288385902,0.7483732470598145,0.7780038376604567,0.7382061526528843,0.0038033563185151387,,,,,,,,
largest_mean_gamma_oper_positive,100,photo-sketch,0.15,0,0.791974288385902,0.6944911722367266,0.4265450318680905,0.7584714993775362,0.16453741902086527,0.791974288385902,0.7249274149986802,0.6617560678089384,0.7592466134425818,"{""art_painting"": ""F"", ""cartoon"": ""F"", ""photo"": ""F"", ""sketch"": ""F""}","{""art_painting"": ""F"", ""cartoon"": ""D"", ""photo"": ""F"", ""sketch"": ""D""}","{""art_painting"": ""D"", ""cartoon"": ""D"", ""photo"": ""D"", ""sketch"": ""D""}","{""art_painting"": ""F"", ""cartoon"": ""F"", ""photo"": ""F"", ""sketch"": ""D""}"
smallest_mean_gamma_oper,25,photo-art_painting,0.1,0,0.791974288385902,0.7483732470598145,0.7780038376604567,0.7382061526528843,0.003784224538455727,0.7926447625382139,0.7665008927437658,0.7861104455259442,0.7637508002699518,"{""art_painting"": ""F"", ""cartoon"": ""F"", ""photo"": ""F"", ""sketch"": ""F""}","{""art_painting"": ""F"", ""cartoon"": ""F"", ""photo"": ""F"", ""sketch"": ""D""}","{""art_painting"": ""F"", ""cartoon"": ""F"", ""photo"": ""F"", ""sketch"": ""F""}","{""art_painting"": ""F"", ""cartoon"": ""F"", ""photo"": ""F"", ""sketch"": ""D""}"
largest_abs_delta_gamma,100,photo-sketch,0.0,0,0.791974288385902,0.6944911722367266,0.4265450318680905,0.7584714993775362,0.01469863662496984,0.8262015638077486,0.8140576468199813,0.8117560678089385,0.814310787446141,"{""art_painting"": ""F"", ""cartoon"": ""F"", ""photo"": ""D"", ""sketch"": ""D""}","{""art_painting"": ""D"", ""cartoon"": ""D"", ""photo"": ""D"", ""sketch"": ""D""}","{""art_painting"": ""D"", ""cartoon"": ""D"", ""photo"": ""D"", ""sketch"": ""D""}","{""art_painting"": ""F"", ""cartoon"": ""D"", ""photo"": ""D"", ""sketch"": ""D""}"
