seed,N,pair,c,routing_F0,routing_Fi,routing_Fj,routing_Fij,F0_to_Fi,F0_to_Fj,F0_to_Fij,Fij_pattern_new,total_routing_changes,gamma_oper
0,50,art_painting-cartoon,0.0,"D,F,F,D","D,F,D,D","D,D,D,D","D,F,D,D",1,2,1,False,4,0.0108587549733579
0,50,art_painting-cartoon,0.02,"D,F,F,D","D,F,D,D","D,D,D,D","D,F,D,D",1,2,1,False,4,0.0208587549733579
0,50,art_painting-cartoon,0.05,"D,F,F,F","F,F,D,D","D,D,D,D","D,F,D,D",3,3,2,True,8,0.0393508546169824
0,50,art_painting-cartoon,0.1,"F,F,F,F","F,F,D,D","F,F,F,F","F,F,F,D",2,0,1,True,3,0.0606420410444037
0,50,art_painting-cartoon,0.15,"F,F,F,F","F,F,F,D","F,F,F,F","F,F,F,D",1,0,1,False,2,0.0652660560072684
0,50,art_painting-sketch,0.0,"D,F,F,D","D,F,D,D","D,D,D,D","D,F,D,D",1,2,1,False,4,0.0101048267982649
0,50,art_painting-sketch,0.02,"D,F,F,D","D,F,D,D","D,D,D,D","D,F,F,D",1,2,0,True,3,0.0220572204492731
0,50,art_painting-sketch,0.05,"D,F,F,F","F,F,D,D","D,D,D,D","D,F,F,D",3,3,1,True,7,0.0480493200928975
0,50,art_painting-sketch,0.1,"F,F,F,F","F,F,D,D","D,D,F,D","F,F,F,F",2,3,0,True,5,0.0996564127719286
0,50,art_painting-sketch,0.15,"F,F,F,F","F,F,F,D","D,D,F,D","F,F,F,F",1,3,0,True,4,0.1542804277347934
0,50,cartoon-sketch,0.0,"D,F,F,D","D,D,D,D","D,D,D,D","D,D,D,D",2,2,2,False,6,0.0157351517221595
0,50,cartoon-sketch,0.02,"D,F,F,D","D,D,D,D","D,D,D,D","D,D,F,D",2,2,1,True,5,0.0289814451076469
0,50,cartoon-sketch,0.05,"D,F,F,F","D,D,D,D","D,D,D,D","D,D,F,F",3,3,1,True,7,0.0553372407474155
0,50,cartoon-sketch,0.1,"F,F,F,F","F,F,F,F","D,D,F,D","D,D,F,F",0,3,2,True,5,0.0977334734610172
0,50,cartoon-sketch,0.15,"F,F,F,F","F,F,F,F","D,D,F,D","D,F,F,F",0,3,1,True,4,0.1150949296957762
0,100,photo-art_painting,0.0,"D,F,F,D","D,D,D,D","D,F,D,D","D,D,D,D",2,1,2,False,5,0.0137132615311524
0,100,photo-art_painting,0.02,"D,F,F,D","D,D,D,D","D,F,D,D","D,F,D,D",2,1,1,False,4,0.019833581877149
0,100,photo-art_painting,0.05,"D,F,F,F","F,D,D,D","D,F,D,D","D,F,D,D",4,2,2,False,8,0.036994417337928
0,100,photo-art_painting,0.1,"F,F,F,F","F,F,D,D","F,F,D,D","F,F,D,D",2,2,2,False,6,0.0737344613399592
0,100,photo-art_painting,0.15,"F,F,F,F","F,F,D,D","F,F,F,D","F,F,D,D",2,1,2,False,5,0.0941063700773384
0,100,photo-cartoon,0.0,"D,F,F,D","D,D,D,D","D,D,D,D","D,F,D,D",2,2,1,True,5,0.0201025467555854
0,100,photo-cartoon,0.02,"D,F,F,D","D,D,D,D","D,D,D,D","D,F,D,D",2,2,1,True,5,0.0351025467555854
0,100,photo-cartoon,0.05,"D,F,F,F","F,D,D,D","D,D,D,D","D,F,F,D",4,3,1,True,8,0.0601856493808223
0,100,photo-cartoon,0.1,"F,F,F,F","F,F,D,D","D,D,F,D","F,F,F,F",2,3,0,True,5,0.1123519476427686
0,100,photo-cartoon,0.15,"F,F,F,F","F,F,D,D","F,F,F,D","F,F,F,F",2,1,0,True,3,0.1653706544198863
0,100,photo-sketch,0.0,"D,F,F,D","D,D,D,D","D,D,D,D","D,F,D,D",2,2,1,True,5,0.0171824889707536
0,100,photo-sketch,0.02,"D,F,F,D","D,D,D,D","D,D,D,D","D,F,D,D",2,2,1,True,5,0.0321824889707537
0,100,photo-sketch,0.05,"D,F,F,F","F,D,D,D","D,D,D,D","D,F,D,D",4,3,2,True,9,0.0568433244315328
0,100,photo-sketch,0.1,"F,F,F,F","F,F,D,D","D,D,D,D","F,F,F,D",2,4,1,True,7,0.1079909519901803
0,100,photo-sketch,0.15,"F,F,F,F","F,F,D,D","D,D,D,D","F,F,F,D",2,4,1,True,7,0.1704909519901803
0,100,art_painting-cartoon,0.0,"D,F,F,D","D,F,D,D","D,D,D,D","D,D,D,D",1,2,2,False,5,0.0137132615311524
0,100,art_painting-cartoon,0.02,"D,F,F,D","D,F,D,D","D,D,D,D","D,D,D,D",1,2,2,False,5,0.0187132615311524
0,100,art_painting-cartoon,0.05,"D,F,F,F","D,F,D,D","D,D,D,D","D,F,D,D",2,3,2,False,7,0.0332858470964693
0,100,art_painting-cartoon,0.1,"F,F,F,F","F,F,D,D","D,D,F,D","F,F,F,D",2,3,1,True,6,0.0807054690066095
0,100,art_painting-cartoon,0.15,"F,F,F,F","F,F,F,D","F,F,F,D","F,F,F,F",1,1,0,True,2,0.1233454662270541
0,100,art_painting-sketch,0.0,"D,F,F,D","D,F,D,D","D,D,D,D","D,D,D,D",1,2,2,False,5,0.0137132615311524
0,100,art_painting-sketch,0.02,"D,F,F,D","D,F,D,D","D,D,D,D","D,D,D,D",1,2,2,False,5,0.0187132615311524
0,100,art_painting-sketch,0.05,"D,F,F,F","D,F,D,D","D,D,D,D","D,D,D,D",2,3,3,False,8,0.0298375942682366
0,100,art_painting-sketch,0.1,"F,F,F,F","F,F,D,D","D,D,D,D","D,D,F,D",2,4,3,True,9,0.0724987993551598
0,100,art_painting-sketch,0.15,"F,F,F,F","F,F,F,D","D,D,D,D","F,F,F,D",1,4,1,False,6,0.1253791858602945
0,100,cartoon-sketch,0.0,"D,F,F,D","D,D,D,D","D,D,D,D","D,D,D,D",2,2,2,False,6,0.0157351517221595
0,100,cartoon-sketch,0.02,"D,F,F,D","D,D,D,D","D,D,D,D","D,D,D,D",2,2,2,False,6,0.0257351517221595
0,100,cartoon-sketch,0.05,"D,F,F,F","D,D,D,D","D,D,D,D","D,D,F,D",3,3,2,True,8,0.0505420079349839
0,100,cartoon-sketch,0.1,"F,F,F,F","D,D,F,D","D,D,D,D","D,D,F,F",3,4,2,True,9,0.1068547495469782
0,100,cartoon-sketch,0.15,"F,F,F,F","F,F,F,D","D,D,D,D","D,D,F,F",1,4,2,True,7,0.1598734563240959
1,25,photo-art_painting,0.0,"D,D,F,D","D,D,D,D","D,D,D,D","D,D,D,D",1,1,1,False,3,0.0125046198692082
1,25,photo-art_painting,0.02,"D,D,F,D","D,D,D,D","D,D,F,D","D,D,D,D",1,0,1,False,2,0.0159475287513948
1,25,photo-art_painting,0.05,"F,F,F,D","F,F,F,D","F,F,F,D","F,D,D,D",0,0,2,True,2,-0.0025174562877975
1,25,photo-art_painting,0.1,"F,F,F,F","F,F,F,D","F,F,F,D","F,F,F,D",1,1,1,False,3,-0.0089352345316808
