index,N,pair,c,routing_change,count,mean,std,median,min,max
0,25,art_painting-cartoon,0.0,False,1,0.0,0.0,0.0,0.0,0.0
1,25,art_painting-cartoon,0.0,True,4,0.009544083977225176,0.004199406846318882,0.0097564429846762,0.0049946916627084,0.0136687582768399
2,25,art_painting-cartoon,0.02,True,5,0.00791674344135606,0.011007894275230008,0.0091102573730027,-0.0060334415278727,0.0192171892461046
3,25,art_painting-cartoon,0.05,False,1,0.0195161840178531,0.0,0.0195161840178531,0.0195161840178531,0.0195161840178531
4,25,art_painting-cartoon,0.05,True,4,0.005329530398972551,0.016062526662561773,0.0096011881469487,-0.0168276787629967,0.0189434240649895
5,25,art_painting-cartoon,0.1,False,1,0.0195161840178531,0.0,0.0195161840178531,0.0195161840178531,0.0195161840178531
6,25,art_painting-cartoon,0.1,True,4,0.026627825123682877,0.020223065615941387,0.0339305792501213,-0.0030311731229091,0.041681315117398
7,25,art_painting-cartoon,0.15,False,2,0.02528737359966485,0.041256637594708524,0.02528737359966485,-0.0038854746125094,0.0544602218118391
8,25,art_painting-cartoon,0.15,True,3,0.05306815212630193,0.02579198381739773,0.0490756666849103,0.0295052189166765,0.080623570777319
9,25,art_painting-sketch,0.0,False,1,0.0,0.0,0.0,0.0,0.0
10,25,art_painting-sketch,0.0,True,4,0.015563240888959001,0.005667073350855317,0.01421251267560005,0.0103435756760733,0.0234843625285626
11,25,art_painting-sketch,0.02,False,1,0.018819284675853,0.0,0.018819284675853,0.018819284675853,0.018819284675853
12,25,art_painting-sketch,0.02,True,4,0.013565323299436726,0.010871674236898523,0.0176505649655826,-0.0025096256519554,0.0214697889185371
13,25,art_painting-sketch,0.05,True,5,0.01631471889955002,0.01529519640924786,0.012105957754779,-0.0033588094068781,0.0371491226394035
14,25,art_painting-sketch,0.1,True,5,0.029091356260604377,0.020915190777476427,0.034307120233054,0.006276056649438,0.0497162654185955
15,25,art_painting-sketch,0.15,True,5,0.05143611306080877,0.025246310148427015,0.0660052506665749,0.0165475751899997,0.0722647679036365
16,25,cartoon-sketch,0.0,False,1,0.0,0.0,0.0,0.0,0.0
17,25,cartoon-sketch,0.0,True,4,0.009131344549089624,0.0028217754144782797,0.00809998856103635,0.0070307633948735,0.0132946376794123
18,25,cartoon-sketch,0.02,True,5,0.00976013484468359,0.005993725187347686,0.0130151114538885,1.4499002841450448e-05,0.0145868762183319
19,25,cartoon-sketch,0.05,True,5,0.01681278142490314,0.009170109669386205,0.0228280176629049,0.0047682697138027,0.0244948764185506
20,25,cartoon-sketch,0.1,True,5,0.0367920146485103,0.025848974809139894,0.0298192091179698,0.0104743452474644,0.0668995767892263
21,25,cartoon-sketch,0.15,False,1,0.0346907579466013,0.0,0.0346907579466013,0.0346907579466013,0.0346907579466013
22,25,cartoon-sketch,0.15,True,4,0.06207326337014143,0.04978363046279128,0.059643349079310196,0.0136589952001524,0.1153473601217929
23,25,photo-art_painting,0.0,False,1,0.0,0.0,0.0,0.0,0.0
24,25,photo-art_painting,0.0,True,4,0.013447524411913325,0.0077813473542353165,0.01057522100648985,0.007917374824679,0.0247222808099946
25,25,photo-art_painting,0.02,True,5,0.0122427882486627,0.011167461003141954,0.0136458221437715,-0.0042780493729455,0.026466597974151
26,25,photo-art_painting,0.05,True,5,0.005342055440365701,0.015020441735011603,0.0028352230834817,-0.0126485688488505,0.0268920101925758
27,25,photo-art_painting,0.1,False,1,0.0006736708736042,0.0,0.0006736708736042,0.0006736708736042,0.0006736708736042
28,25,photo-art_painting,0.1,True,4,0.004561862954668525,0.018598458381776296,-0.00185831079785095,-0.0089352345316808,0.0308993079460568
29,25,photo-art_painting,0.15,False,1,-0.0021950100768659,0.0,-0.0021950100768659,-0.0021950100768659,-0.0021950100768659
30,25,photo-art_painting,0.15,True,4,0.010830579080384449,0.01680816395623923,0.005084164708478,-0.0017338927979894,0.0348878797025712
31,25,photo-cartoon,0.0,False,1,0.0,0.0,0.0,0.0,0.0
