index,N,pair,c,mean,std,median,min,max
0,25,art_painting-cartoon,0.0,-0.04970466244074672,0.051845660974831155,-0.0452434444768345,-0.1316623091174798,0.0088801662752178
1,25,art_painting-cartoon,0.02,-0.0494231861811708,0.046777630903067385,-0.043141453203976,-0.1249497397405834,-0.0021479669153633
2,25,art_painting-cartoon,0.05,-0.0491730684997782,0.04495329414165046,-0.0371169815235234,-0.1252235049216985,-0.012942204150487299
3,25,art_painting-cartoon,0.1,-0.032134432720009945,0.0404084388933692,-0.020190077331784802,-0.10248561386929,0.0008543014896003
4,25,art_painting-cartoon,0.15,-0.015384088906879761,0.027242227958510033,-0.0031760438920684017,-0.063543358209369,0.0
5,25,art_painting-sketch,0.0,-0.05003767776507394,0.022759568010266452,-0.0562282320849124,-0.06941716077906421,-0.010604470541789
6,25,art_painting-sketch,0.02,-0.047872154901521156,0.02066986235801811,-0.0516511408033334,-0.0644171607790641,-0.013114096193744401
7,25,art_painting-sketch,0.05,-0.046173551576691126,0.02240664468078838,-0.057834006320889905,-0.067606636858696,-0.0139632799486671
8,25,art_painting-sketch,0.1,-0.03339691421563676,0.025116384881900232,-0.0352392985796933,-0.0717817673684452,-0.004328413892351
9,25,art_painting-sketch,0.15,-0.011052157415432362,0.020936054649712196,-0.0031828007435825006,-0.047052344308307306,0.005943104648210698
10,25,cartoon-sketch,0.0,-0.05516505111306587,0.07512136629475727,-0.0276599945517278,-0.1714735569034989,0.0133425664761152
11,25,cartoon-sketch,0.02,-0.052709991907653964,0.07431679168736313,-0.0266914360664293,-0.166473556903499,0.0183425664761152
12,25,cartoon-sketch,0.05,-0.045657345327434415,0.07241998634125565,-0.0255866034523799,-0.1551635461531325,0.0281960438572628
13,25,cartoon-sketch,0.1,-0.025678112103827262,0.055984290380668274,-0.0188894423587952,-0.1127588457824568,0.0351466641401965
14,25,cartoon-sketch,0.15,-0.005873364466904162,0.03567901939324113,0.0,-0.0643110624498902,0.031494320772894296
15,25,photo-art_painting,0.0,0.006954663211015399,0.026630866630026527,0.0242032866151055,-0.032085389128489,0.026917290886860498
16,25,photo-art_painting,0.02,0.008439431930147439,0.02488013007177235,0.0211265893530665,-0.027085389128489002,0.0286616080510169
17,25,photo-art_painting,0.05,0.0015386991218504398,0.01457714920766971,0.0091812104580998,-0.0147486627856093,0.0143440791392849
18,25,photo-art_painting,0.1,-1.913178005960095e-05,0.01352487674992471,0.0027634322142165,-0.0169102149954868,0.01724402472693
19,25,photo-art_painting,0.15,0.004422104930419119,0.013247926323845258,0.0,-0.0077625857570469015,0.0236707459280226
20,25,photo-cartoon,0.0,-0.06394340884339746,0.052172738843734565,-0.043579182196883,-0.1491498023803691,-0.0186254859299785
21,25,photo-cartoon,0.02,-0.06026806743266781,0.05124262151591632,-0.042637420742000796,-0.142938137520562,-0.015472754949176699
22,25,photo-cartoon,0.05,-0.0557382534951135,0.04707971978518463,-0.0416324215460241,-0.1316302327864493,-0.0172747950946862
23,25,photo-cartoon,0.1,-0.037094522763294696,0.039999800944634574,-0.020035054867195798,-0.1066135319054081,-0.0075467871039245
24,25,photo-cartoon,0.15,-0.01917571822544368,0.030122791549190238,-0.009019375461757698,-0.07184140400476309,0.0
25,25,photo-sketch,0.0,-0.07986945703028248,0.030046172777319448,-0.06901372111345849,-0.1258357753710218,-0.051308026071735
26,25,photo-sketch,0.02,-0.07403185029682335,0.02589043502315723,-0.0590137211134584,-0.1147095621285581,-0.0530619507898836
27,25,photo-sketch,0.05,-0.06717750635824814,0.019394328291065785,-0.0589417927980323,-0.09608522939147379,-0.04853431836016
28,25,photo-sketch,0.1,-0.042529899421576325,0.015884116467884127,-0.0373370402132798,-0.06727523183985831,-0.0291627069572174
29,25,photo-sketch,0.15,-0.01757636423505484,0.016831454179569973,-0.011223703044261499,-0.047052344308307306,-0.005561829848736002
30,50,art_painting-cartoon,0.0,-0.08435857587747293,0.026192555379640537,-0.0883020108052699,-0.12023954051490351,-0.0491436028230591
31,50,art_painting-cartoon,0.02,-0.0793556760769046,0.03061855718116782,-0.0833020108052699,-0.12023954051490351,-0.0391436028230591
32,50,art_painting-cartoon,0.05,-0.06820084767732035,0.03527794723287487,-0.0758330629877043,-0.11009628249527471,-0.0206515031794346
33,50,art_painting-cartoon,0.1,-0.04086686493660881,0.030327818072183908,-0.0500282463107473,-0.07448721697869232,0.0006396832479866957
34,50,art_painting-cartoon,0.15,-0.017620416946168567,0.018714644814906062,-0.01252824631074731,-0.037409939659891096,0.005263698210851396
35,50,art_painting-sketch,0.0,-0.2222455347705922,0.035337549560209694,-0.2358348458299398,-0.2525723338339178,-0.16502581302186428
36,50,art_painting-sketch,0.02,-0.21555568843812495,0.03414238505292953,-0.2238824521789316,-0.24257233383391788,-0.1585434740133773
37,50,art_painting-sketch,0.05,-0.19770318821876212,0.03401575497239871,-0.2072150963098283,-0.22475124655280468,-0.139763212530338
38,50,art_painting-sketch,0.1,-0.15478074563073463,0.028958766761811004,-0.15355297753298158,-0.18755679239717749,-0.1121042076129761
39,50,art_painting-sketch,0.15,-0.10835883290739808,0.025967038227139555,-0.1035529775329816,-0.1368481391916021,-0.07694604842441519
40,50,cartoon-sketch,0.0,-0.18640618603011067,0.03257825185725398,-0.176004638383863,-0.21949934513750818,-0.1430726214859106
41,50,cartoon-sketch,0.02,-0.17844170828926365,0.03630344379931049,-0.17491916319633521,-0.21852066294409495,-0.1280726214859105
42,50,cartoon-sketch,0.05,-0.1604194144123471,0.03939602124511464,-0.1672184091464098,-0.2081419548780788,-0.1074679977555762
43,50,cartoon-sketch,0.1,-0.11699733727514088,0.033463474416064745,-0.12349457303393681,-0.1619340379096028,-0.07553061755420211
44,50,cartoon-sketch,0.15,-0.08914190926981816,0.027140330181058,-0.08602778774020081,-0.12736320368292048,-0.0547712895424472
45,50,photo-art_painting,0.0,-0.0622744355591975,0.03166859418418277,-0.0454561224859725,-0.1065698261037424,-0.0322202037181197
46,50,photo-art_painting,0.02,-0.057939807933553925,0.028397452807921615,-0.0418032745297974,-0.0965698261037424,-0.0307627749293483
47,50,photo-art_painting,0.05,-0.05053641659836265,0.02052591376229837,-0.040079490933921,-0.0767667460056449,-0.029896761745765298
48,50,photo-art_painting,0.1,-0.03489087361031936,0.01203257986777145,-0.034063763868604297,-0.049093818440758,-0.0203478137799951
49,50,photo-art_painting,0.15,-0.021173920908157663,0.009172479946148128,-0.0174882833927991,-0.031969803477893396,-0.012491836921344097
50,50,photo-cartoon,0.0,-0.1362055505293102,0.01849189457709905,-0.1238746065314444,-0.160157342866073,-0.12152221591690279
51,50,photo-cartoon,0.02,-0.12880482602459886,0.01977415583574339,-0.12152221591690279,-0.1558116898220821,-0.10821490677502
52,50,photo-cartoon,0.05,-0.11345282766769364,0.02289958179550935,-0.119219058274674,-0.14183028266585668,-0.08232254422064492
53,50,photo-cartoon,0.1,-0.07370184692722506,0.019040774027118134,-0.071225223631216,-0.10492450260204839,-0.05518690130452611
54,50,photo-cartoon,0.15,-0.046371129904872396,0.01725238649757245,-0.04268690130452611,-0.07522901930573629,-0.032832750040932585
55,50,photo-sketch,0.0,-0.25454596907203586,0.04526409181605404,-0.2778436482155719,-0.2935206939704723,-0.1892981001149457
56,50,photo-sketch,0.02,-0.24660055112065718,0.042101557774096,-0.2678436482155719,-0.2878177275163865,-0.18995244707095488
57,50,photo-sketch,0.05,-0.22867293145307904,0.038411029689477946,-0.2429717561693791,-0.27292221359923613,-0.18226715722226738
58,50,photo-sketch,0.1,-0.1781891413181053,0.028609158129185498,-0.184697054629324,-0.2158126270432743,-0.14532194899606488
