seed,N,pair,domain_i,domain_j,c,gamma_learn,gamma_oper,R0,Ri,Rj,Rij,d_i,transition_i_photo,transition_i_art_painting,transition_i_cartoon,transition_i_sketch,d_j,transition_j_photo,transition_j_art_painting,transition_j_cartoon,transition_j_sketch,d_ij,transition_ij_photo,transition_ij_art_painting,transition_ij_cartoon,transition_ij_sketch,gamma_route_photo,gamma_route_art_painting,gamma_route_cartoon,gamma_route_sketch,route_interaction_count,route_interaction_l1,routing_config_count,Fij_pattern_new,delta_gamma,sign_change,delta_class,Vlearn_F0,Voper_F0,Vlearn_Fi,Voper_Fi,Vlearn_Fj,Voper_Fj,Vlearn_Fij,Voper_Fij,case,score
4,100,photo-sketch,photo,sketch,0.02,0.3901015272728657,-0.002009310520968,"D,D,F,D","F,D,D,D","D,D,D,D","D,D,D,D",2,D→F,D→D,F→D,D→D,1,D→D,D→D,F→D,D→D,1,D→D,D→D,F→D,D→D,1,0,-1,0,2,2,3,False,-0.39211083779383366,True,ABSORB,0.769788268602489,0.7946665981949038,0.684280878055421,0.7966759087158719,0.4435701107921713,0.7946520991920624,0.7481642475179691,0.7946520991920624,cost_evolution,
1,100,photo-sketch,photo,sketch,0.02,0.4347904434181256,0.0175046198692081,"D,D,F,D","D,D,D,D","D,D,D,D","D,D,D,D",1,D→D,D→D,F→D,D→D,1,D→D,D→D,F→D,D→D,1,D→D,D→D,F→D,D→D,0,0,-1,0,1,1,2,False,-0.4172858235489175,False,ABSORB,0.7789813096653946,0.8038822188869986,0.6489297503333561,0.7863775990177905,0.4400232558864266,0.7863775990177905,0.7447621399725137,0.7863775990177905,cost_evolution,
3,100,photo-sketch,photo,sketch,0.02,0.4702276214489974,0.0340239149812784,"D,D,F,F","F,D,D,D","D,D,D,D","F,D,F,D",3,D→F,D→D,F→D,F→D,2,D→D,D→D,F→D,F→D,2,D→F,D→D,F→F,F→D,0,0,-2,-1,2,3,4,True,-0.436203706467719,False,ABSORB,0.817369289745614,0.8316302193526375,0.7443712287712574,0.8077055609128756,0.3786377606054206,0.7951254370328948,0.7758673210800615,0.8052246935744114,cost_evolution,
2,100,photo-sketch,photo,sketch,0.02,0.4087040729956916,0.0304474233489103,"D,F,F,D","F,F,D,D","D,D,D,D","F,F,F,D",2,D→F,F→F,F→D,D→D,2,D→D,F→D,F→D,D→D,1,D→F,F→F,F→F,D→D,0,-1,-2,0,2,3,4,True,-0.3782566496467813,False,ABSORB,0.7750601093420804,0.8043105174795102,0.7145914122188772,0.7883985614902278,0.4276027537294575,0.7768275913965692,0.775838129601946,0.7913630587561972,cost_evolution,
4,100,photo-sketch,photo,sketch,0.05,0.3901015272728657,0.0163288907060978,"D,F,F,F","F,D,D,D","D,D,D,D","F,F,D,D",4,D→F,F→D,F→D,F→D,3,D→D,F→D,F→D,F→D,3,D→F,F→F,F→D,F→D,0,-2,-1,-1,3,4,4,True,-0.3737726365667679,False,ABSORB,0.769788268602489,0.7765821930688273,0.684280878055421,0.7741759087158718,0.4435701107921713,0.7646520991920623,0.7481642475179691,0.7785747055452048,cost_evolution,
3,100,photo-sketch,photo,sketch,0.05,0.4702276214489974,0.0586118844520845,"F,D,F,F","F,F,D,D","D,D,D,D","F,D,F,D",3,F→F,D→F,F→D,F→D,3,F→D,D→D,F→D,F→D,1,F→F,D→D,F→F,F→D,-1,1,-2,-1,4,5,4,True,-0.4116157369969129,False,ABSORB,0.817369289745614,0.819201807251176,0.7443712287712574,0.7856891793406081,0.3786377606054206,0.7651254370328948,0.7758673210800615,0.7902246935744115,cost_evolution,
2,100,photo-sketch,photo,sketch,0.05,0.4087040729956916,0.0545493859730404,"F,F,F,D","F,F,D,D","D,D,D,D","F,F,F,D",1,F→F,F→F,F→D,D→D,3,F→D,F→D,F→D,D→D,0,F→F,F→F,F→F,D→D,-1,-1,-2,0,3,4,3,True,-0.35415468702265124,False,ABSORB,0.7750601093420804,0.7909124801036402,0.7145914122188772,0.7733985614902277,0.4276027537294575,0.7468275913965692,0.775838129601946,0.7838630587561971,cost_evolution,
1,100,photo-sketch,photo,sketch,0.05,0.4347904434181256,0.0362694709416295,"F,F,F,D","F,D,D,D","D,D,D,D","F,D,F,D",2,F→F,F→D,F→D,D→D,3,F→D,F→D,F→D,D→D,1,F→F,F→D,F→F,D→D,-1,-1,-2,0,3,4,4,True,-0.3985209724764961,False,ABSORB,0.7789813096653946,0.7851922296373651,0.6489297503333561,0.760637252310099,0.4400232558864266,0.7563775990177904,0.7447621399725137,0.7680920926321539,cost_evolution,
0,100,photo-sketch,photo,sketch,0.05,0.4432242531574253,0.0568433244315328,"D,F,F,F","F,D,D,D","D,D,D,D","D,F,D,D",4,D→F,F→D,F→D,F→D,3,D→D,F→D,F→D,F→D,2,D→D,F→F,F→D,F→D,1,-2,-1,-1,4,5,4,True,-0.3863809287258925,False,ABSORB,0.818672464573932,0.8201570968646186,0.6802825918047213,0.7772611096816799,0.4428912783269765,0.7757976124053748,0.7477256587151911,0.789744949653969,cost_evolution,
2,100,photo-sketch,photo,sketch,0.1,0.4087040729956916,0.1046191716333579,"F,F,F,D","F,F,F,D","D,D,D,D","F,F,F,F",0,F→F,F→F,F→F,D→D,3,F→D,F→D,F→D,D→D,1,F→F,F→F,F→F,D→F,-1,-1,-1,-1,4,4,3,True,-0.3040849013623337,False,ABSORB,0.7750601093420804,0.7784124801036403,0.7145914122188772,0.752803846675659,0.4276027537294575,0.6968275913965692,0.775838129601946,0.775838129601946,cost_evolution,
1,100,photo-sketch,photo,sketch,0.1,0.4347904434181256,0.0942285983100186,"F,F,F,F","F,D,D,D","D,D,D,D","F,F,F,F",3,F→F,F→D,F→D,F→D,4,F→D,F→D,F→D,F→D,0,F→F,F→F,F→F,F→F,-1,-2,-2,-2,4,7,3,True,-0.340561845108107,False,ABSORB,0.7789813096653946,0.7789813096653946,0.6489297503333561,0.7231372523100992,0.4400232558864266,0.7063775990177905,0.7447621399725137,0.7447621399725137,cost_evolution,
3,100,photo-sketch,photo,sketch,0.1,0.4702276214489974,0.1175761199934599,"F,F,F,F","F,F,D,D","D,D,D,D","F,D,F,F",2,F→F,F→F,F→D,F→D,4,F→D,F→D,F→D,F→D,1,F→F,F→D,F→F,F→F,-1,0,-2,-2,3,5,4,True,-0.3526515014555375,False,ABSORB,0.817369289745614,0.817369289745614,0.7443712287712574,0.7606891793406081,0.3786377606054206,0.7151254370328948,0.7758673210800615,0.7760214466213489,cost_evolution,
0,100,photo-sketch,photo,sketch,0.1,0.4432242531574253,0.1079909519901803,"F,F,F,F","F,F,D,D","D,D,D,D","F,F,F,D",2,F→F,F→F,F→D,F→D,4,F→D,F→D,F→D,F→D,1,F→F,F→F,F→F,F→D,-1,-1,-2,-1,4,5,4,True,-0.33523330116724503,False,ABSORB,0.818672464573932,0.818672464573932,0.6802825918047213,0.7489851292187958,0.4428912783269765,0.7257976124053749,0.7477256587151911,0.7641012290404191,cost_evolution,
4,100,photo-sketch,photo,sketch,0.1,0.3901015272728657,0.0696974371330624,"F,F,F,F","F,F,D,D","D,D,D,D","F,F,F,D",2,F→F,F→F,F→D,F→D,4,F→D,F→D,F→D,F→D,1,F→F,F→F,F→F,F→D,-1,-1,-2,-1,4,5,4,True,-0.3204040901398033,False,ABSORB,0.769788268602489,0.769788268602489,0.684280878055421,0.7412205827416289,0.4435701107921713,0.7146520991920624,0.7481642475179691,0.7557818504642648,cost_evolution,
2,100,photo-sketch,photo,sketch,0.15,0.4087040729956916,0.163766800871798,"F,F,F,F","F,F,F,D","D,D,D,D","F,F,F,F",1,F→F,F→F,F→F,F→D,4,F→D,F→D,F→D,F→D,0,F→F,F→F,F→F,F→F,-1,-1,-1,-2,4,5,3,True,-0.2449372721238936,False,ABSORB,0.7750601093420804,0.7750601093420804,0.7145914122188772,0.7403038466756591,0.4276027537294575,0.6468275913965692,0.775838129601946,0.775838129601946,cost_evolution,
1,100,photo-sketch,photo,sketch,0.15,0.4347904434181256,0.1713099423702302,"F,F,F,F","F,F,F,D","D,D,D,D","F,F,F,F",1,F→F,F→F,F→F,F→D,4,F→D,F→D,F→D,F→D,0,F→F,F→F,F→F,F→F,-1,-1,-1,-2,4,5,3,True,-0.26348050104789544,False,ABSORB,0.7789813096653946,0.7789813096653946,0.6489297503333561,0.6960559082498876,0.4400232558864266,0.6563775990177905,0.7447621399725137,0.7447621399725137,cost_evolution,
3,100,photo-sketch,photo,sketch,0.15,0.4702276214489974,0.1800395656853511,"F,F,F,F","F,F,F,D","D,D,D,D","F,F,F,F",1,F→F,F→F,F→F,F→D,4,F→D,F→D,F→D,F→D,0,F→F,F→F,F→F,F→F,-1,-1,-1,-2,4,5,3,True,-0.29018805576364626,False,ABSORB,0.817369289745614,0.817369289745614,0.7443712287712574,0.7480716081074296,0.3786377606054206,0.6651254370328947,0.7758673210800615,0.7758673210800615,cost_evolution,
0,100,photo-sketch,photo,sketch,0.15,0.4432242531574253,0.1704909519901803,"F,F,F,F","F,F,D,D","D,D,D,D","F,F,F,D",2,F→F,F→F,F→D,F→D,4,F→D,F→D,F→D,F→D,1,F→F,F→F,F→F,F→D,-1,-1,-2,-1,4,5,4,True,-0.27273330116724503,False,ABSORB,0.818672464573932,0.818672464573932,0.6802825918047213,0.7239851292187958,0.4428912783269765,0.6757976124053748,0.7477256587151911,0.751601229040419,cost_evolution,
4,100,photo-sketch,photo,sketch,0.15,0.3901015272728657,0.1370798341867668,"F,F,F,F","F,F,D,D","D,D,D,D","F,F,F,F",2,F→F,F→F,F→D,F→D,4,F→D,F→D,F→D,F→D,0,F→F,F→F,F→F,F→F,-1,-1,-2,-2,4,6,3,True,-0.2530216930860989,False,ABSORB,0.769788268602489,0.769788268602489,0.684280878055421,0.7162205827416288,0.4435701107921713,0.6646520991920624,0.7481642475179691,0.7481642475179691,cost_evolution,
