seed,N,pair,c,gamma_learn,gamma_oper,delta_gamma,delta_class,sign_change,route_interaction_count,route_interaction_l1
0,100,photo-cartoon,0.15,0.2248046479260899,0.1653706544198863,-0.0594339935062036,ABSORB,False,2,3
0,100,photo-sketch,0.0,0.4432242531574253,0.0171824889707536,-0.4260417641866717,ABSORB,False,2,3
0,100,photo-sketch,0.02,0.4432242531574253,0.0321824889707537,-0.4110417641866716,ABSORB,False,2,3
0,100,photo-sketch,0.05,0.4432242531574253,0.0568433244315328,-0.3863809287258925,ABSORB,False,4,5
0,100,photo-sketch,0.1,0.4432242531574253,0.1079909519901803,-0.33523330116724503,ABSORB,False,4,5
0,100,photo-sketch,0.15,0.4432242531574253,0.1704909519901803,-0.27273330116724503,ABSORB,False,4,5
0,100,art_painting-cartoon,0.0,0.1568191795508114,0.0137132615311524,-0.143105918019659,ABSORB,False,1,1
0,100,art_painting-cartoon,0.02,0.1568191795508114,0.0187132615311524,-0.138105918019659,ABSORB,False,1,1
0,100,art_painting-cartoon,0.05,0.1568191795508114,0.0332858470964693,-0.1235333324543421,ABSORB,False,3,3
0,100,art_painting-cartoon,0.1,0.1568191795508114,0.0807054690066095,-0.07611371054420189,ABSORB,False,4,4
0,100,art_painting-cartoon,0.15,0.1568191795508114,0.1233454662270541,-0.0334737133237573,ABSORB,False,1,2
0,100,art_painting-sketch,0.0,0.3705041963072324,0.0137132615311524,-0.35679093477608004,ABSORB,False,1,1
0,100,art_painting-sketch,0.02,0.3705041963072324,0.0187132615311524,-0.35179093477608003,ABSORB,False,1,1
0,100,art_painting-sketch,0.05,0.3705041963072324,0.0298375942682366,-0.3406666020389958,ABSORB,False,2,2
0,100,art_painting-sketch,0.1,0.3705041963072324,0.0724987993551598,-0.2980053969520726,ABSORB,False,2,3
0,100,art_painting-sketch,0.15,0.3705041963072324,0.1253791858602945,-0.2451250104469379,ABSORB,False,4,4
0,100,cartoon-sketch,0.0,0.3975415756132191,0.0157351517221595,-0.3818064238910596,ABSORB,False,2,2
0,100,cartoon-sketch,0.02,0.3975415756132191,0.0257351517221595,-0.3718064238910596,ABSORB,False,2,2
0,100,cartoon-sketch,0.05,0.3975415756132191,0.0505420079349839,-0.3469995676782352,ABSORB,False,3,4
0,100,cartoon-sketch,0.1,0.3975415756132191,0.1068547495469782,-0.2906868260662409,ABSORB,False,4,5
