seed,N,pair,domain_i,domain_j,c,gamma_learn,gamma_oper,R0,Ri,Rj,Rij,d_i,transition_i_photo,transition_i_art_painting,transition_i_cartoon,transition_i_sketch,d_j,transition_j_photo,transition_j_art_painting,transition_j_cartoon,transition_j_sketch,d_ij,transition_ij_photo,transition_ij_art_painting,transition_ij_cartoon,transition_ij_sketch,gamma_route_photo,gamma_route_art_painting,gamma_route_cartoon,gamma_route_sketch,route_interaction_count,route_interaction_l1,routing_config_count,Fij_pattern_new,delta_gamma,sign_change,delta_class,Vlearn_F0,Voper_F0,Vlearn_Fi,Voper_Fi,Vlearn_Fj,Voper_Fj,Vlearn_Fij,Voper_Fij
0,25,photo-sketch,photo,sketch,0.05,0.1345307687296913,0.0384455393382175,"D,F,F,F","D,F,D,D","D,D,F,D","D,F,F,D",2,D→D,F→F,F→D,F→D,2,D→D,F→D,F→F,F→D,1,D→D,F→F,F→F,F→D,0,-1,-1,-1,3,3,4,True,-0.09608522939147379,False,ABSORB,0.818672464573932,0.8201570968646186,0.7557059750226669,0.7992832098389019,0.7193008161096974,0.787171399162911,0.7908650952881238,0.8047430514754119
0,25,photo-sketch,photo,sketch,0.1,0.1345307687296913,0.0858168541067884,"F,F,F,F","F,F,F,D","D,D,F,D","F,F,F,F",1,F→F,F→F,F→F,F→D,3,F→D,F→D,F→F,F→D,0,F→F,F→F,F→F,F→F,-1,-1,0,-2,3,4,3,True,-0.04871391462290291,False,ABSORB,0.818672464573932,0.818672464573932,0.7557059750226669,0.7740493065923562,0.7193008161096974,0.7496713991629111,0.7908650952881238,0.7908650952881238
0,25,photo-sketch,photo,sketch,0.15,0.1345307687296913,0.1255046364164195,"F,F,F,F","F,F,F,D","D,F,F,F","F,F,F,F",1,F→F,F→F,F→F,F→D,1,F→D,F→F,F→F,F→F,0,F→F,F→F,F→F,F→F,-1,0,0,-1,2,2,3,True,-0.00902613231327179,False,ABSORB,0.818672464573932,0.818672464573932,0.7557059750226669,0.7615493065923562,0.7193008161096974,0.72248361685328,0.7908650952881238,0.7908650952881238
0,25,art_painting-cartoon,art_painting,cartoon,0.0,0.0522517105769787,0.0070082661001442,"D,F,F,D","D,F,D,D","D,F,D,D","D,F,D,D",1,D→D,F→F,F→D,D→D,1,D→D,F→F,F→D,D→D,1,D→D,F→F,F→D,D→D,0,0,-1,0,1,1,2,False,-0.0452434444768345,False,ABSORB,0.818672464573932,0.8415327641275345,0.8010581628057312,0.837164938859392,0.7640862964309324,0.8282381264481222,0.7987237052397104,0.830878567280124
0,25,art_painting-cartoon,art_painting,cartoon,0.02,0.0522517105769787,0.0091102573730027,"D,F,F,D","D,F,D,D","D,F,F,D","D,F,D,D",1,D→D,F→F,F→D,D→D,0,D→D,F→F,F→F,D→D,1,D→D,F→F,F→D,D→D,0,0,0,0,0,0,2,False,-0.043141453203976,False,ABSORB,0.818672464573932,0.8315327641275345,0.8010581628057312,0.822164938859392,0.7640862964309324,0.8161361351752637,0.7987237052397104,0.815878567280124
0,25,art_painting-cartoon,art_painting,cartoon,0.05,0.0522517105769787,0.0151347290534553,"D,F,F,F","D,F,F,D","D,F,F,D","F,F,F,F",1,D→D,F→F,F→F,F→D,1,D→D,F→F,F→F,F→D,1,D→F,F→F,F→F,F→F,-1,0,0,-2,2,3,3,True,-0.0371169815235234,False,ABSORB,0.818672464573932,0.8201570968646186,0.8010581628057312,0.8026099378756099,0.7640862964309324,0.8011361351752637,0.7987237052397104,0.7987237052397104
0,25,art_painting-cartoon,art_painting,cartoon,0.1,0.0522517105769787,0.0365756666849104,"F,F,F,F","F,F,F,F","F,F,F,D","F,F,F,F",0,F→F,F→F,F→F,F→F,1,F→F,F→F,F→F,F→D,0,F→F,F→F,F→F,F→F,0,0,0,-1,1,1,2,False,-0.015676043892068302,False,ABSORB,0.818672464573932,0.818672464573932,0.8010581628057312,0.8010581628057312,0.7640862964309324,0.7797623403230007,0.7987237052397104,0.7987237052397104
0,25,art_painting-cartoon,art_painting,cartoon,0.15,0.0522517105769787,0.0490756666849103,"F,F,F,F","F,F,F,F","F,F,F,D","F,F,F,F",0,F→F,F→F,F→F,F→F,1,F→F,F→F,F→F,F→D,0,F→F,F→F,F→F,F→F,0,0,0,-1,1,1,2,False,-0.0031760438920684017,False,ABSORB,0.818672464573932,0.818672464573932,0.8010581628057312,0.8010581628057312,0.7640862964309324,0.7672623403230008,0.7987237052397104,0.7987237052397104
0,25,art_painting-sketch,art_painting,sketch,0.0,0.0691880514101574,0.0103435756760733,"D,F,F,D","D,F,D,D","D,D,D,D","D,F,F,D",1,D→D,F→F,F→D,D→D,2,D→D,F→D,F→D,D→D,0,D→D,F→F,F→F,D→D,0,-1,-2,0,2,3,3,True,-0.05884447573408409,False,ABSORB,0.818672464573932,0.8415327641275345,0.8010581628057312,0.837164938859392,0.7193008161096974,0.825797612405375,0.7708745657516541,0.8317733628133058
0,25,art_painting-sketch,art_painting,sketch,0.02,0.0691880514101574,0.0214697889185371,"D,F,F,D","D,F,D,D","D,D,F,D","D,F,F,D",1,D→D,F→F,F→D,D→D,1,D→D,F→D,F→F,D→D,0,D→D,F→F,F→F,D→D,0,-1,-1,0,2,2,3,True,-0.0477182624916203,False,ABSORB,0.818672464573932,0.8315327641275345,0.8010581628057312,0.822164938859392,0.7193008161096974,0.8096713991629112,0.7708745657516541,0.8217733628133058
0,25,art_painting-sketch,art_painting,sketch,0.05,0.0691880514101574,0.0371491226394035,"D,F,F,F","D,F,F,D","D,D,F,D","D,F,F,D",1,D→D,F→F,F→F,F→D,2,D→D,F→D,F→F,F→D,1,D→D,F→F,F→F,F→D,0,-1,0,-1,2,2,3,False,-0.03203892877075389,False,ABSORB,0.818672464573932,0.8201570968646186,0.8010581628057312,0.8026099378756099,0.7193008161096974,0.787171399162911,0.7708745657516541,0.8067733628133058
0,25,art_painting-sketch,art_painting,sketch,0.1,0.0691880514101574,0.0497162654185955,"F,F,F,F","F,F,F,F","D,D,F,D","D,F,F,D",0,F→F,F→F,F→F,F→F,3,F→D,F→D,F→F,F→D,2,F→D,F→F,F→F,F→D,0,-1,0,0,1,1,3,True,-0.019471785991561893,False,ABSORB,0.818672464573932,0.818672464573932,0.8010581628057312,0.8010581628057312,0.7193008161096974,0.7496713991629111,0.7708745657516541,0.7817733628133059
0,25,art_painting-sketch,art_painting,sketch,0.15,0.0691880514101574,0.0660052506665749,"F,F,F,F","F,F,F,F","D,F,F,F","F,F,F,F",0,F→F,F→F,F→F,F→F,1,F→D,F→F,F→F,F→F,0,F→F,F→F,F→F,F→F,-1,0,0,0,1,1,2,False,-0.0031828007435825006,False,ABSORB,0.818672464573932,0.818672464573932,0.8010581628057312,0.8010581628057312,0.7193008161096974,0.72248361685328,0.7708745657516541,0.7708745657516541
0,25,cartoon-sketch,cartoon,sketch,0.0,0.0994786770436038,0.0132946376794123,"D,F,F,D","D,F,D,D","D,D,D,D","D,D,D,D",1,D→D,F→F,F→D,D→D,2,D→D,F→D,F→D,D→D,2,D→D,F→D,F→D,D→D,0,0,-1,0,1,1,3,False,-0.0861840393641915,False,ABSORB,0.818672464573932,0.8415327641275345,0.7640862964309324,0.8282381264481222,0.7193008161096974,0.825797612405375,0.7641933250103017,0.825797612405375
0,25,cartoon-sketch,cartoon,sketch,0.02,0.0994786770436038,0.0145868762183319,"D,F,F,D","D,F,F,D","D,D,F,D","D,D,F,D",0,D→D,F→F,F→F,D→D,1,D→D,F→D,F→F,D→D,1,D→D,F→D,F→F,D→D,0,0,0,0,0,0,2,False,-0.0848918008252719,False,ABSORB,0.818672464573932,0.8315327641275345,0.7640862964309324,0.8161361351752637,0.7193008161096974,0.8096713991629112,0.7641933250103017,0.8088616464289724
0,25,cartoon-sketch,cartoon,sketch,0.05,0.0994786770436038,0.0228280176629049,"D,F,F,F","D,F,F,D","D,D,F,D","D,D,F,F",1,D→D,F→F,F→F,F→D,2,D→D,F→D,F→F,F→D,1,D→D,F→D,F→F,F→F,0,0,0,-2,1,2,4,True,-0.0766506593806989,False,ABSORB,0.818672464573932,0.8201570968646186,0.7640862964309324,0.8011361351752637,0.7193008161096974,0.787171399162911,0.7641933250103017,0.7909784551364611
0,25,cartoon-sketch,cartoon,sketch,0.1,0.0994786770436038,0.0609656265000849,"F,F,F,F","F,F,F,D","D,D,F,D","D,F,F,F",1,F→F,F→F,F→F,F→D,3,F→D,F→D,F→F,F→D,1,F→D,F→F,F→F,F→F,0,-1,0,-2,2,3,4,True,-0.038513050543518904,False,ABSORB,0.818672464573932,0.818672464573932,0.7640862964309324,0.7797623403230007,0.7193008161096974,0.7496713991629111,0.7641933250103017,0.7717269014120649
0,25,cartoon-sketch,cartoon,sketch,0.15,0.0994786770436038,0.0931198324079528,"F,F,F,F","F,F,F,D","D,F,F,F","F,F,F,F",1,F→F,F→F,F→F,F→D,1,F→D,F→F,F→F,F→F,0,F→F,F→F,F→F,F→F,-1,0,0,-1,2,2,3,True,-0.0063588446356510064,False,ABSORB,0.818672464573932,0.818672464573932,0.7640862964309324,0.7672623403230008,0.7193008161096974,0.72248361685328,0.7641933250103017,0.7641933250103017
