seed,N,domain_i,domain_j,pair,c,B,kappa,rho_i,rho_j,V_F0,V_Fi,V_Fj,V_Fij,DeltaV_i,DeltaV_j,DeltaV_ij,Gamma_oper,Gamma_learn,H_i,H_j,H_ij,B_Gamma_oper,H_j_given_i,H_i_given_j,M_j_given_stored_i,M_i_given_stored_j,portfolio_rescue,interaction_needed,routing_F0,routing_Fi,routing_Fj,routing_Fij,F0_ba_photo,D_ba_photo,Fi_ba_photo,Fj_ba_photo,Fij_ba_photo,DeltaS_i_photo,DeltaS_j_photo,DeltaS_ij_photo,interaction_S_photo,V_contribution_F0_photo,V_contribution_Fi_photo,V_contribution_Fj_photo,V_contribution_Fij_photo,Gamma_oper_contribution_photo,Gamma_route_photo,F0_ba_art_painting,D_ba_art_painting,Fi_ba_art_painting,Fj_ba_art_painting,Fij_ba_art_painting,DeltaS_i_art_painting,DeltaS_j_art_painting,DeltaS_ij_art_painting,interaction_S_art_painting,V_contribution_F0_art_painting,V_contribution_Fi_art_painting,V_contribution_Fj_art_painting,V_contribution_Fij_art_painting,Gamma_oper_contribution_art_painting,Gamma_route_art_painting,F0_ba_cartoon,D_ba_cartoon,Fi_ba_cartoon,Fj_ba_cartoon,Fij_ba_cartoon,DeltaS_i_cartoon,DeltaS_j_cartoon,DeltaS_ij_cartoon,interaction_S_cartoon,V_contribution_F0_cartoon,V_contribution_Fi_cartoon,V_contribution_Fj_cartoon,V_contribution_Fij_cartoon,Gamma_oper_contribution_cartoon,Gamma_route_cartoon,F0_ba_sketch,D_ba_sketch,Fi_ba_sketch,Fj_ba_sketch,Fij_ba_sketch,DeltaS_i_sketch,DeltaS_j_sketch,DeltaS_ij_sketch,interaction_S_sketch,V_contribution_F0_sketch,V_contribution_Fi_sketch,V_contribution_Fj_sketch,V_contribution_Fij_sketch,Gamma_oper_contribution_sketch,Gamma_route_sketch
0,25,photo,art_painting,photo__art_painting,0.0,1,0.0,-0.05593852916274655,0.05882225107901251,0.8415327641275345,0.8273321212075867,0.8331947254794604,0.8272365553562133,-0.014200642919947826,-0.008338038648074142,-0.014296208771321206,0.008242472796700762,0.000551686742862656,0.04173788624279873,-0.06716028972708665,-0.017179930687587164,0.008242472796700762,-0.05891781693038589,0.04998035903949949,-0.07311845985033372,0.04164232039142535,False,False,"D,F,F,D","D,F,D,D","D,F,D,D","D,F,D,D",0.9086389345010035,0.9645774636637501,0.9302365860446268,0.9096394583046418,0.9353516588936898,0.021597651543623253,0.0010005238036382424,0.026712724392686238,0.004114549045424742,0.24114436591593752,0.24114436591593752,0.24114436591593752,0.24114436591593752,0.0,0,0.7929104032291104,0.7340881521500979,0.7402261873589447,0.7636766044464396,0.7398439239534514,-0.052684215870165696,-0.02923379878267085,-0.053066479275658995,0.02885153537717755,0.1982276008072776,0.18505654683973619,0.1909191511116099,0.18496098098836286,0.007212883844294388,0,0.8157554711821414,0.8116371153725156,0.7266179814164895,0.7340112260805037,0.6703746769399801,-0.08913748976565194,-0.08174424510163769,-0.14538079424216133,0.02550094062512831,0.20393886779553536,0.2029092788431289,0.2029092788431289,0.2029092788431289,0.0010295889524064572,-1,0.7573850493834721,0.7928877184351361,0.6386090447430407,0.6890948425759506,0.5140585598592395,-0.11877600464043137,-0.06829020680752151,-0.24332648952423253,-0.056260278076279646,0.19822192960878401,0.19822192960878401,0.19822192960878401,0.19822192960878401,0.0,0
0,25,photo,art_painting,photo__art_painting,0.0,2,0.0,-0.05593852916274655,0.05882225107901251,0.8415327641275345,0.8273321212075867,0.8331947254794604,0.8272365553562133,-0.014200642919947826,-0.008338038648074142,-0.014296208771321206,0.008242472796700762,0.000551686742862656,0.0275372433228509,-0.0754983283751608,-0.03147613945890837,0.016484945593401523,-0.05901338278175927,0.044022188916252425,-0.08741466862165492,0.02734611162010414,False,False,"D,F,F,D","D,F,D,D","D,F,D,D","D,F,D,D",0.9086389345010035,0.9645774636637501,0.9302365860446268,0.9096394583046418,0.9353516588936898,0.021597651543623253,0.0010005238036382424,0.026712724392686238,0.004114549045424742,0.24114436591593752,0.24114436591593752,0.24114436591593752,0.24114436591593752,0.0,0,0.7929104032291104,0.7340881521500979,0.7402261873589447,0.7636766044464396,0.7398439239534514,-0.052684215870165696,-0.02923379878267085,-0.053066479275658995,0.02885153537717755,0.1982276008072776,0.18505654683973619,0.1909191511116099,0.18496098098836286,0.007212883844294388,0,0.8157554711821414,0.8116371153725156,0.7266179814164895,0.7340112260805037,0.6703746769399801,-0.08913748976565194,-0.08174424510163769,-0.14538079424216133,0.02550094062512831,0.20393886779553536,0.2029092788431289,0.2029092788431289,0.2029092788431289,0.0010295889524064572,-1,0.7573850493834721,0.7928877184351361,0.6386090447430407,0.6890948425759506,0.5140585598592395,-0.11877600464043137,-0.06829020680752151,-0.24332648952423253,-0.056260278076279646,0.19822192960878401,0.19822192960878401,0.19822192960878401,0.19822192960878401,0.0,0
0,25,photo,art_painting,photo__art_painting,0.0,5,0.0,-0.05593852916274655,0.05882225107901251,0.8415327641275345,0.8273321212075867,0.8331947254794604,0.8272365553562133,-0.014200642919947826,-0.008338038648074142,-0.014296208771321206,0.008242472796700762,0.000551686742862656,-0.015064685436992575,-0.10051244431938322,-0.07436476577287199,0.04121236398350381,-0.05930008033587941,0.026147678546511233,-0.13030329493561854,-0.015542514693859477,False,False,"D,F,F,D","D,F,D,D","D,F,D,D","D,F,D,D",0.9086389345010035,0.9645774636637501,0.9302365860446268,0.9096394583046418,0.9353516588936898,0.021597651543623253,0.0010005238036382424,0.026712724392686238,0.004114549045424742,0.24114436591593752,0.24114436591593752,0.24114436591593752,0.24114436591593752,0.0,0,0.7929104032291104,0.7340881521500979,0.7402261873589447,0.7636766044464396,0.7398439239534514,-0.052684215870165696,-0.02923379878267085,-0.053066479275658995,0.02885153537717755,0.1982276008072776,0.18505654683973619,0.1909191511116099,0.18496098098836286,0.007212883844294388,0,0.8157554711821414,0.8116371153725156,0.7266179814164895,0.7340112260805037,0.6703746769399801,-0.08913748976565194,-0.08174424510163769,-0.14538079424216133,0.02550094062512831,0.20393886779553536,0.2029092788431289,0.2029092788431289,0.2029092788431289,0.0010295889524064572,-1,0.7573850493834721,0.7928877184351361,0.6386090447430407,0.6890948425759506,0.5140585598592395,-0.11877600464043137,-0.06829020680752151,-0.24332648952423253,-0.056260278076279646,0.19822192960878401,0.19822192960878401,0.19822192960878401,0.19822192960878401,0.0,0
0,25,photo,art_painting,photo__art_painting,0.0,10,0.0,-0.05593852916274655,0.05882225107901251,0.8415327641275345,0.8273321212075867,0.8331947254794604,0.8272365553562133,-0.014200642919947826,-0.008338038648074142,-0.014296208771321206,0.008242472796700762,0.000551686742862656,-0.0860679000367317,-0.14220263755975393,-0.14584580962947802,0.08242472796700762,-0.059777909592746314,-0.0036431720697240877,-0.20178433879222457,-0.08702355855046551,False,False,"D,F,F,D","D,F,D,D","D,F,D,D","D,F,D,D",0.9086389345010035,0.9645774636637501,0.9302365860446268,0.9096394583046418,0.9353516588936898,0.021597651543623253,0.0010005238036382424,0.026712724392686238,0.004114549045424742,0.24114436591593752,0.24114436591593752,0.24114436591593752,0.24114436591593752,0.0,0,0.7929104032291104,0.7340881521500979,0.7402261873589447,0.7636766044464396,0.7398439239534514,-0.052684215870165696,-0.02923379878267085,-0.053066479275658995,0.02885153537717755,0.1982276008072776,0.18505654683973619,0.1909191511116099,0.18496098098836286,0.007212883844294388,0,0.8157554711821414,0.8116371153725156,0.7266179814164895,0.7340112260805037,0.6703746769399801,-0.08913748976565194,-0.08174424510163769,-0.14538079424216133,0.02550094062512831,0.20393886779553536,0.2029092788431289,0.2029092788431289,0.2029092788431289,0.0010295889524064572,-1,0.7573850493834721,0.7928877184351361,0.6386090447430407,0.6890948425759506,0.5140585598592395,-0.11877600464043137,-0.06829020680752151,-0.24332648952423253,-0.056260278076279646,0.19822192960878401,0.19822192960878401,0.19822192960878401,0.19822192960878401,0.0,0
0,25,photo,art_painting,photo__art_painting,0.02,1,0.0,-0.035938529162746535,0.07882225107901253,0.8315327641275345,0.8123321212075867,0.8181947254794604,0.8122365553562133,-0.01920064291994783,-0.013338038648074146,-0.01929620877132121,0.013242472796700766,0.000551686742862656,0.016737886242798705,-0.09216028972708667,-0.062179930687587204,0.013242472796700766,-0.07891781693038591,0.02998035903949947,-0.09811845985033374,0.016642320391425325,False,False,"D,F,F,D","D,F,D,D","D,F,D,D","D,F,D,D",0.9086389345010035,0.9645774636637501,0.9302365860446268,0.9096394583046418,0.9353516588936898,0.021597651543623253,0.0010005238036382424,0.026712724392686238,0.004114549045424742,0.23614436591593752,0.23614436591593752,0.23614436591593752,0.23614436591593752,0.0,0,0.7929104032291104,0.7340881521500979,0.7402261873589447,0.7636766044464396,0.7398439239534514,-0.052684215870165696,-0.02923379878267085,-0.053066479275658995,0.02885153537717755,0.1982276008072776,0.18505654683973619,0.1909191511116099,0.18496098098836286,0.007212883844294388,0,0.8157554711821414,0.8116371153725156,0.7266179814164895,0.7340112260805037,0.6703746769399801,-0.08913748976565194,-0.08174424510163769,-0.14538079424216133,0.02550094062512831,0.20393886779553536,0.1979092788431289,0.1979092788431289,0.1979092788431289,0.006029588952406462,-1,0.7573850493834721,0.7928877184351361,0.6386090447430407,0.6890948425759506,0.5140585598592395,-0.11877600464043137,-0.06829020680752151,-0.24332648952423253,-0.056260278076279646,0.193221929608784,0.193221929608784,0.193221929608784,0.193221929608784,0.0,0
0,25,photo,art_painting,photo__art_painting,0.02,2,0.0,-0.035938529162746535,0.07882225107901253,0.8315327641275345,0.8123321212075867,0.8181947254794604,0.8122365553562133,-0.01920064291994783,-0.013338038648074146,-0.01929620877132121,0.013242472796700766,0.000551686742862656,-0.002462756677149125,-0.10549832837516082,-0.08147613945890841,0.026484945593401532,-0.07901338278175929,0.024022188916252407,-0.11741466862165495,-0.0026538883798958857,False,False,"D,F,F,D","D,F,D,D","D,F,D,D","D,F,D,D",0.9086389345010035,0.9645774636637501,0.9302365860446268,0.9096394583046418,0.9353516588936898,0.021597651543623253,0.0010005238036382424,0.026712724392686238,0.004114549045424742,0.23614436591593752,0.23614436591593752,0.23614436591593752,0.23614436591593752,0.0,0,0.7929104032291104,0.7340881521500979,0.7402261873589447,0.7636766044464396,0.7398439239534514,-0.052684215870165696,-0.02923379878267085,-0.053066479275658995,0.02885153537717755,0.1982276008072776,0.18505654683973619,0.1909191511116099,0.18496098098836286,0.007212883844294388,0,0.8157554711821414,0.8116371153725156,0.7266179814164895,0.7340112260805037,0.6703746769399801,-0.08913748976565194,-0.08174424510163769,-0.14538079424216133,0.02550094062512831,0.20393886779553536,0.1979092788431289,0.1979092788431289,0.1979092788431289,0.006029588952406462,-1,0.7573850493834721,0.7928877184351361,0.6386090447430407,0.6890948425759506,0.5140585598592395,-0.11877600464043137,-0.06829020680752151,-0.24332648952423253,-0.056260278076279646,0.193221929608784,0.193221929608784,0.193221929608784,0.193221929608784,0.0,0
0,25,photo,art_painting,photo__art_painting,0.02,5,0.0,-0.035938529162746535,0.07882225107901253,0.8315327641275345,0.8123321212075867,0.8181947254794604,0.8122365553562133,-0.01920064291994783,-0.013338038648074146,-0.01929620877132121,0.013242472796700766,0.000551686742862656,-0.060064685436992615,-0.14551244431938326,-0.13936476577287205,0.06621236398350383,-0.07930008033587943,0.006147678546511215,-0.17530329493561858,-0.06054251469385952,False,False,"D,F,F,D","D,F,D,D","D,F,D,D","D,F,D,D",0.9086389345010035,0.9645774636637501,0.9302365860446268,0.9096394583046418,0.9353516588936898,0.021597651543623253,0.0010005238036382424,0.026712724392686238,0.004114549045424742,0.23614436591593752,0.23614436591593752,0.23614436591593752,0.23614436591593752,0.0,0,0.7929104032291104,0.7340881521500979,0.7402261873589447,0.7636766044464396,0.7398439239534514,-0.052684215870165696,-0.02923379878267085,-0.053066479275658995,0.02885153537717755,0.1982276008072776,0.18505654683973619,0.1909191511116099,0.18496098098836286,0.007212883844294388,0,0.8157554711821414,0.8116371153725156,0.7266179814164895,0.7340112260805037,0.6703746769399801,-0.08913748976565194,-0.08174424510163769,-0.14538079424216133,0.02550094062512831,0.20393886779553536,0.1979092788431289,0.1979092788431289,0.1979092788431289,0.006029588952406462,-1,0.7573850493834721,0.7928877184351361,0.6386090447430407,0.6890948425759506,0.5140585598592395,-0.11877600464043137,-0.06829020680752151,-0.24332648952423253,-0.056260278076279646,0.193221929608784,0.193221929608784,0.193221929608784,0.193221929608784,0.0,0
0,25,photo,art_painting,photo__art_painting,0.02,10,0.0,-0.035938529162746535,0.07882225107901253,0.8315327641275345,0.8123321212075867,0.8181947254794604,0.8122365553562133,-0.01920064291994783,-0.013338038648074146,-0.01929620877132121,0.013242472796700766,0.000551686742862656,-0.15606790003673177,-0.212202637559754,-0.2358458096294781,0.13242472796700766,-0.07977790959274633,-0.023643172069724105,-0.27178433879222463,-0.15702355855046557,False,False,"D,F,F,D","D,F,D,D","D,F,D,D","D,F,D,D",0.9086389345010035,0.9645774636637501,0.9302365860446268,0.9096394583046418,0.9353516588936898,0.021597651543623253,0.0010005238036382424,0.026712724392686238,0.004114549045424742,0.23614436591593752,0.23614436591593752,0.23614436591593752,0.23614436591593752,0.0,0,0.7929104032291104,0.7340881521500979,0.7402261873589447,0.7636766044464396,0.7398439239534514,-0.052684215870165696,-0.02923379878267085,-0.053066479275658995,0.02885153537717755,0.1982276008072776,0.18505654683973619,0.1909191511116099,0.18496098098836286,0.007212883844294388,0,0.8157554711821414,0.8116371153725156,0.7266179814164895,0.7340112260805037,0.6703746769399801,-0.08913748976565194,-0.08174424510163769,-0.14538079424216133,0.02550094062512831,0.20393886779553536,0.1979092788431289,0.1979092788431289,0.1979092788431289,0.006029588952406462,-1,0.7573850493834721,0.7928877184351361,0.6386090447430407,0.6890948425759506,0.5140585598592395,-0.11877600464043137,-0.06829020680752151,-0.24332648952423253,-0.056260278076279646,0.193221929608784,0.193221929608784,0.193221929608784,0.193221929608784,0.0,0
0,25,photo,art_painting,photo__art_painting,0.05,1,0.0,-0.005938529162746509,0.10882225107901256,0.8201570968646186,0.7937469018028057,0.7956947254794603,0.7949301041636981,-0.026410195061812858,-0.024462371385158277,-0.025226992700920436,0.0256455737460507,0.000551686742862656,-0.02047166589906635,-0.13328462246417083,-0.12811071461718648,0.0256455737460507,-0.10763904871812013,0.005173907846984349,-0.134049243779933,-0.019288463538173928,False,False,"D,F,F,F","F,F,D,D","D,F,D,D","F,F,D,D",0.9086389345010035,0.9645774636637501,0.9302365860446268,0.9096394583046418,0.9353516588936898,0.021597651543623253,0.0010005238036382424,0.026712724392686238,0.004114549045424742,0.2286443659159375,0.2325591465111567,0.2286443659159375,0.23383791472342244,0.0012787682122657462,0,0.7929104032291104,0.7340881521500979,0.7402261873589447,0.7636766044464396,0.7398439239534514,-0.052684215870165696,-0.02923379878267085,-0.053066479275658995,0.02885153537717755,0.1982276008072776,0.18505654683973619,0.1909191511116099,0.18496098098836286,0.007212883844294388,0,0.8157554711821414,0.8116371153725156,0.7266179814164895,0.7340112260805037,0.6703746769399801,-0.08913748976565194,-0.08174424510163769,-0.14538079424216133,0.02550094062512831,0.20393886779553536,0.1904092788431289,0.1904092788431289,0.1904092788431289,0.013529588952406468,-1,0.7573850493834721,0.7928877184351361,0.6386090447430407,0.6890948425759506,0.5140585598592395,-0.11877600464043137,-0.06829020680752151,-0.24332648952423253,-0.056260278076279646,0.18934626234586802,0.185721929608784,0.185721929608784,0.185721929608784,0.003624332737084013,-1
0,25,photo,art_painting,photo__art_painting,0.05,2,0.0,-0.005938529162746509,0.10882225107901256,0.8201570968646186,0.7937469018028057,0.7956947254794603,0.7949301041636981,-0.026410195061812858,-0.024462371385158277,-0.025226992700920436,0.0256455737460507,0.000551686742862656,-0.04688186096087921,-0.1577469938493291,-0.15333770731810692,0.0512911474921014,-0.10645584635722771,0.00440928653122219,-0.15927623648085343,-0.044515456239094364,False,False,"D,F,F,F","F,F,D,D","D,F,D,D","F,F,D,D",0.9086389345010035,0.9645774636637501,0.9302365860446268,0.9096394583046418,0.9353516588936898,0.021597651543623253,0.0010005238036382424,0.026712724392686238,0.004114549045424742,0.2286443659159375,0.2325591465111567,0.2286443659159375,0.23383791472342244,0.0012787682122657462,0,0.7929104032291104,0.7340881521500979,0.7402261873589447,0.7636766044464396,0.7398439239534514,-0.052684215870165696,-0.02923379878267085,-0.053066479275658995,0.02885153537717755,0.1982276008072776,0.18505654683973619,0.1909191511116099,0.18496098098836286,0.007212883844294388,0,0.8157554711821414,0.8116371153725156,0.7266179814164895,0.7340112260805037,0.6703746769399801,-0.08913748976565194,-0.08174424510163769,-0.14538079424216133,0.02550094062512831,0.20393886779553536,0.1904092788431289,0.1904092788431289,0.1904092788431289,0.013529588952406468,-1,0.7573850493834721,0.7928877184351361,0.6386090447430407,0.6890948425759506,0.5140585598592395,-0.11877600464043137,-0.06829020680752151,-0.24332648952423253,-0.056260278076279646,0.18934626234586802,0.185721929608784,0.185721929608784,0.185721929608784,0.003624332737084013,-1
