seed,N,intervention_domain,c,DeltaS_photo,DeltaS_art_painting,DeltaS_cartoon,DeltaS_sketch,DeltaS_local,DeltaS_cross_mean,DeltaS_cross_sum,cross_domains_improved,cross_domains_worsened,cross_domains_zero,singleton_class,cross_loss_exceeds_local_gain,DeltaV_contribution_photo,DeltaV_contribution_art_painting,DeltaV_contribution_cartoon,DeltaV_contribution_sketch,DeltaV_local_learning,DeltaV_cross_learning,DeltaV_routing_adjustment,DeltaV,negative_dominant_term
0,25,art_painting,0.0,0.0010005238036381314,-0.02923379878267085,-0.08174424510163769,-0.06829020680752151,-0.02923379878267085,-0.04967797603517369,-0.14903392810552107,1,2,0,C,False,0.0,-0.0073084496956677125,-0.0010295889524064572,0.0,-0.0073084496956677125,-0.03725848202638027,0.03622889307397381,-0.00833803864807417,cross_loss
0,25,art_painting,0.02,0.0010005238036381314,-0.02923379878267085,-0.08174424510163769,-0.06829020680752151,-0.02923379878267085,-0.04967797603517369,-0.14903392810552107,1,2,0,C,False,0.0,-0.0073084496956677125,-0.006029588952406462,0.0,-0.0073084496956677125,-0.03725848202638027,0.031228893073973807,-0.013338038648074174,cross_loss
0,25,art_painting,0.05,0.0010005238036381314,-0.02923379878267085,-0.08174424510163769,-0.06829020680752151,-0.02923379878267085,-0.04967797603517369,-0.14903392810552107,1,2,0,C,False,0.0,-0.0073084496956677125,-0.013529588952406468,-0.003624332737084013,-0.0073084496956677125,-0.03725848202638027,0.020104560336889787,-0.024462371385158194,cross_loss
0,25,art_painting,0.1,0.0010005238036381314,-0.02923379878267085,-0.08174424510163769,-0.06829020680752151,-0.02923379878267085,-0.04967797603517369,-0.14903392810552107,1,2,0,C,False,0.00025013095090953286,-0.0073084496956677125,-0.020436061275409423,-0.016124332737083996,-0.0073084496956677125,-0.03725848202638027,0.0009482189647963823,-0.0436187127572516,cross_loss
0,25,art_painting,0.15,0.0010005238036381314,-0.02923379878267085,-0.08174424510163769,-0.06829020680752151,-0.02923379878267085,-0.04967797603517369,-0.14903392810552107,1,2,0,C,False,0.00025013095090953286,-0.0073084496956677125,-0.020436061275409423,-0.01707255170188038,-0.0073084496956677125,-0.03725848202638027,0.0,-0.04456693172204798,cross_loss
0,25,cartoon,0.0,-0.005115072849063207,-0.03996229023162012,-0.007630628955986429,-0.08574090527921752,-0.007630628955986429,-0.04360608945330028,-0.13081826835990085,0,3,0,C,False,0.0,-0.00999057255790503,-0.0010295889524064572,0.0,-0.0019076572389966073,-0.03270456708997521,0.02359206281866033,-0.011020161510311488,cross_loss
0,25,cartoon,0.02,-0.005115072849063207,-0.03996229023162012,-0.007630628955986429,-0.08574090527921752,-0.007630628955986429,-0.04360608945330028,-0.13081826835990085,0,3,0,C,False,0.0,-0.00999057255790503,-0.0019076572389966073,0.0,-0.0019076572389966073,-0.03270456708997521,0.02271399453207018,-0.011898229796901638,cross_loss
0,25,cartoon,0.05,-0.005115072849063207,-0.03996229023162012,-0.007630628955986429,-0.08574090527921752,-0.007630628955986429,-0.04360608945330028,-0.13081826835990085,0,3,0,C,False,0.0,-0.00999057255790503,-0.0019076572389966073,-0.003624332737084013,-0.0019076572389966073,-0.03270456708997521,0.019089661794986168,-0.015522562533985651,cross_loss
0,25,cartoon,0.1,-0.005115072849063207,-0.03996229023162012,-0.007630628955986429,-0.08574090527921752,-0.007630628955986429,-0.04360608945330028,-0.13081826835990085,0,3,0,C,False,-0.0012787682122658017,-0.00999057255790503,-0.0019076572389966073,-0.016124332737083996,-0.0019076572389966073,-0.03270456708997521,0.005310893582720383,-0.029301330746251436,cross_loss
0,25,cartoon,0.15,-0.005115072849063207,-0.03996229023162012,-0.007630628955986429,-0.08574090527921752,-0.007630628955986429,-0.04360608945330028,-0.13081826835990085,0,3,0,C,False,-0.0012787682122658017,-0.00999057255790503,-0.0019076572389966073,-0.02143522631980438,-0.0019076572389966073,-0.03270456708997521,0.0,-0.03461222432897182,cross_loss
0,25,photo,0.0,0.021597651543623142,-0.052684215870165696,-0.08913748976565194,-0.11877600464043137,0.021597651543623142,-0.08686590342541634,-0.260597710276249,0,3,0,A,True,0.0,-0.013171053967541424,-0.0010295889524064572,0.0,0.0053994128859057855,-0.06514942756906225,0.045549371763208585,-0.014200642919947881,cross_loss
0,25,photo,0.02,0.021597651543623142,-0.052684215870165696,-0.08913748976565194,-0.11877600464043137,0.021597651543623142,-0.08686590342541634,-0.260597710276249,0,3,0,A,True,0.0,-0.013171053967541424,-0.006029588952406462,0.0,0.0053994128859057855,-0.06514942756906225,0.04054937176320858,-0.019200642919947886,cross_loss
0,25,photo,0.05,0.021597651543623142,-0.052684215870165696,-0.08913748976565194,-0.11877600464043137,0.021597651543623142,-0.08686590342541634,-0.260597710276249,0,3,0,A,True,0.003914780595219214,-0.013171053967541424,-0.013529588952406468,-0.003624332737084013,0.0053994128859057855,-0.06514942756906225,0.033339819621343775,-0.02641019506181269,cross_loss
0,25,photo,0.1,0.021597651543623142,-0.052684215870165696,-0.08913748976565194,-0.11877600464043137,0.021597651543623142,-0.08686590342541634,-0.260597710276249,0,3,0,A,True,0.0053994128859057855,-0.013171053967541424,-0.022284372441412986,-0.016124332737083996,0.0053994128859057855,-0.06514942756906225,0.013569668423023845,-0.04618034626013262,cross_loss
0,25,photo,0.15,0.021597651543623142,-0.052684215870165696,-0.08913748976565194,-0.11877600464043137,0.021597651543623142,-0.08686590342541634,-0.260597710276249,0,3,0,A,True,0.0053994128859057855,-0.013171053967541424,-0.022284372441412986,-0.028624332737084007,0.0053994128859057855,-0.06514942756906225,0.001069668423023834,-0.05868034626013263,cross_loss
