beta_case,beta,perturbation_sign,c_star,lambda_max,final_A1,final_B2,final_A2,final_B1,final_gap,distance_from_symmetric
below,1.0,-1,0.5,-0.20000000000000004,0.4999999999981109,0.4999999999981109,0.5000000000018892,0.5000000000018892,-7.556510972506203e-12,3.778255486660894e-12
below,1.0,1,0.5,-0.20000000000000004,0.5000000000018892,0.5000000000018892,0.4999999999981109,0.4999999999981109,7.556566483657434e-12,3.778255486660894e-12
critical,2.0,-1,0.5,2.7755575615628914e-17,0.45306385459966103,0.45306385459966103,0.5395014940959236,0.5395014940959236,-0.1728752789925252,0.08675678395205819
critical,2.0,1,0.5,2.7755575615628914e-17,0.5395014940959235,0.5395014940959235,0.45306385459966125,0.45306385459966125,0.17287527899252453,0.08675678395205784
above,3.0,-1,0.5,0.20000000000000015,0.04657327098331392,0.04657327098331392,0.6611492402788857,0.6611492402788857,-1.2291519385911434,0.680536371150335
above,3.0,1,0.5,0.20000000000000015,0.6611492402788857,0.6611492402788857,0.046573270983313944,0.046573270983313944,1.2291519385911434,0.680536371150335
