seed,domain,N,c,O50,REP,REP2,STD,DeltaQ,O50_minus_STD,REP_minus_STD,REP2_minus_STD,REP2_minus_O50,REP2_minus_REP,DeltaI,DeltaL,G_cross_recovered,local_sacrifice,cross_recovery_exceeds_local_sacrifice,G_plus_DeltaL
0,art_painting,25,0.0,-0.005235510650753228,-0.0024865451310548403,-0.011559355978357888,-0.008338038648074142,0.0027489655196983875,0.003102527997320914,0.005851493517019302,-0.003221317330283746,-0.00632384532760466,-0.009072810847303048,-0.13680037520251132,0.010995862078793439,0.13680037520251132,0.0,False,0.14779623728130475
0,art_painting,25,0.02,-0.010235510650753232,-0.007486545131054845,-0.016559355978357893,-0.013338038648074146,0.0027489655196983875,0.003102527997320914,0.005851493517019302,-0.003221317330283746,-0.00632384532760466,-0.009072810847303048,-0.13680037520251132,0.010995862078793439,0.13680037520251132,0.0,False,0.14779623728130475
0,art_painting,25,0.05,-0.021359843387837363,-0.016698877518126376,-0.027683688715442134,-0.024462371385158277,0.004660965869710987,0.003102527997320914,0.007763493867031901,-0.003221317330283857,-0.006323845327604771,-0.010984811197315758,-0.13680037520251132,0.010995862078793439,0.13680037520251132,0.0,False,0.14779623728130475
0,art_painting,25,0.1,-0.041814606625364514,-0.027880369391367288,-0.043650708660512794,-0.0436187127572516,0.013934237233997226,0.0018041061318870844,0.01573834336588431,-3.199590326119495e-05,-0.0018361020351482793,-0.015770339269145506,-0.13680037520251132,0.010995862078793439,0.13680037520251132,0.0,False,0.14779623728130475
0,art_painting,25,0.15,-0.05431460662536447,-0.027880369391367288,-0.05615070866051275,-0.04456693172204795,0.026434237233997182,-0.009747674903316517,0.016686562330680665,-0.011583776938464796,-0.0018361020351482793,-0.02827033926914546,-0.13680037520251132,0.010995862078793439,0.13680037520251132,0.0,False,0.14779623728130475
0,art_painting,50,0.0,0.001267264588695749,-0.005570325121186603,-0.015735151722159557,-0.0007437152418329207,-0.006837589709882352,0.0020109798305286697,-0.004826609879353683,-0.014991436480326636,-0.017002416310855306,-0.010164826600972954,-0.04274365509606093,-0.0273503588395293,0.04274365509606093,0.0273503588395293,True,0.01539329625653163
0,art_painting,50,0.02,-0.0037327354113042555,-0.010570325121186608,-0.021398546171324417,-0.005743715241832925,-0.006837589709882352,0.0020109798305286697,-0.004826609879353683,-0.015654830929491492,-0.017665810760020162,-0.01082822105013781,-0.04274365509606093,-0.0273503588395293,0.04274365509606093,0.0273503588395293,True,0.01539329625653163
0,art_painting,50,0.05,-0.014857068148388386,-0.02169465785827074,-0.03252287890840855,-0.016868047978917056,-0.006837589709882352,0.0020109798305286697,-0.004826609879353683,-0.015654830929491492,-0.017665810760020162,-0.01082822105013781,-0.04274365509606093,-0.0273503588395293,0.04274365509606093,0.0273503588395293,True,0.01539329625653163
0,art_painting,50,0.1,-0.03843001010466707,-0.03773564202097035,-0.0507179082201612,-0.04284618611341939,0.000694368083696717,0.004416176008752326,0.005110544092449043,-0.007871722106741808,-0.012287898115494134,-0.01298226619919085,-0.04274365509606093,-0.0273503588395293,0.04274365509606093,0.0273503588395293,True,0.01539329625653163
0,art_painting,50,0.15,-0.050930010104667134,-0.050235642020970306,-0.06321790822016127,-0.0559488040926589,0.000694368083696828,0.005018793987991765,0.005713162071688593,-0.007269104127502368,-0.012287898115494134,-0.012982266199190962,-0.04274365509606093,-0.0273503588395293,0.04274365509606093,0.0273503588395293,True,0.01539329625653163
