seed,R,P,Q_c0.0,Q_c0.02,Q_c0.05,Q_c0.1,Q_c0.15
0,0.2942510739458852,0.018481976384336827,0.005526609879296651,0.009850096994967325,0.016011900767498782,0.03382637176503054,0.050147839623982414
1,0.3456877003714956,0.03277735968399275,0.0027512146918602007,0.00603893890603351,0.01588155272761362,0.03714313422126115,0.05606889733967449
2,0.3302918136715159,0.026239064151197172,0.013831718324855377,0.018821110401199204,0.0277319627131745,0.04490000044341313,0.05796994715197304
3,0.3810165811686465,0.05527609463436117,0.004560886336264401,0.007152718931835583,0.0175176639111836,0.03981731776555303,0.059716935734955005
4,0.3301064927482857,0.030634191782673303,0.0003574613011685934,0.002146441077147685,0.012086249009475145,0.035193700948286395,0.05261885000999055
