seed,domain,N,method,DeltaS_local,DeltaS_cross,I,evaluation_split,test_used,S_F0_photo,S_photo,DeltaS_photo,S_F0_art_painting,S_art_painting,DeltaS_art_painting,S_F0_cartoon,S_cartoon,DeltaS_cartoon,S_F0_sketch,S_sketch,DeltaS_sketch
0,photo,25,STD,0.021597651543623253,-0.260597710276249,0.260597710276249,validation,False,0.9086389345010035,0.9302365860446268,0.021597651543623253,0.7929104032291104,0.7402261873589447,-0.052684215870165696,0.8157554711821414,0.7266179814164895,-0.08913748976565194,0.7573850493834721,0.6386090447430407,-0.11877600464043137
0,photo,25,O50,0.021597651543623253,-0.22663750667790938,0.22663750667790938,validation,False,0.9086389345010035,0.9302365860446268,0.021597651543623253,0.7929104032291104,0.7345691877169827,-0.058341215512127786,0.8157554711821414,0.7268898855958906,-0.0888655855862508,0.7573850493834721,0.6779543438039413,-0.0794307055795308
0,photo,25,REP,0.010345962634219386,-0.11683759664039373,0.11683759664039373,validation,False,0.9086389345010035,0.9189848971352229,0.010345962634219386,0.7929104032291104,0.7813722294364197,-0.011538173792690731,0.8157554711821414,0.7652128174007073,-0.05054265378143408,0.7573850493834721,0.7026282803172031,-0.05475676906626892
0,photo,25,REP2,-0.003938616603482381,-0.18309200554686855,0.18309200554686855,validation,False,0.9086389345010035,0.9047003178975211,-0.003938616603482381,0.7929104032291104,0.7765368467366,-0.016373556492510488,0.8157554711821414,0.7509376149866002,-0.06481785619554126,0.7573850493834721,0.6554844565246553,-0.10190059285881681
0,art_painting,25,STD,-0.02923379878267085,-0.14903392810552096,0.14903392810552096,validation,False,0.9086389345010035,0.9096394583046418,0.0010005238036382424,0.7929104032291104,0.7636766044464396,-0.02923379878267085,0.8157554711821414,0.7340112260805037,-0.08174424510163769,0.7573850493834721,0.6890948425759506,-0.06829020680752151
0,art_painting,25,O50,-0.016823686793387194,-0.24249402805338605,0.24249402805338605,validation,False,0.9086389345010035,0.9047133499302575,-0.003925584570745988,0.7929104032291104,0.7760867164357232,-0.016823686793387194,0.8157554711821414,0.7337436469931531,-0.08201182418898834,0.7573850493834721,0.6008284300898203,-0.15655661929365172
0,art_painting,25,REP,-0.0058278247145937545,-0.10569365285087473,0.10569365285087473,validation,False,0.9086389345010035,0.9089567479445121,0.00031781344350856333,0.7929104032291104,0.7870825785145167,-0.0058278247145937545,0.8157554711821414,0.7692851167725662,-0.046470354409575254,0.7573850493834721,0.697843937498664,-0.05954111188480804
0,art_painting,25,REP2,-0.042119068103805946,-0.18539872000132285,0.18539872000132285,validation,False,0.9086389345010035,0.9087808155025698,0.000141881001566313,0.7929104032291104,0.7507913351253045,-0.042119068103805946,0.8157554711821414,0.7476271545906662,-0.06812831659147522,0.7573850493834721,0.6399727649720581,-0.11741228441141394
0,cartoon,25,STD,-0.007630628955986429,-0.13081826835990062,0.13081826835990062,validation,False,0.9086389345010035,0.9035238616519405,-0.005115072849062985,0.7929104032291104,0.7529481129974903,-0.03996229023162012,0.8157554711821414,0.808124842226155,-0.007630628955986429,0.7573850493834721,0.6716441441042545,-0.08574090527921752
0,cartoon,25,O50,-0.012206562439416868,-0.09695543058661493,0.09695543058661493,validation,False,0.9086389345010035,0.9084499700263248,-0.00018896447467875443,0.7929104032291104,0.7611113783036128,-0.03179902492549769,0.8157554711821414,0.8035489087427246,-0.012206562439416868,0.7573850493834721,0.6924176081970336,-0.06496744118643849
0,cartoon,25,REP,-0.014557294387440467,0.0073590324485998115,-0.0073590324485998115,validation,False,0.9086389345010035,0.9186670836917142,0.010028149190710711,0.7929104032291104,0.7825810083132493,-0.010329394915861156,0.8157554711821414,0.801198176794701,-0.014557294387440467,0.7573850493834721,0.7650453275572223,0.007660278173750257
0,cartoon,25,REP2,-0.006908162915557847,-0.01133890071387711,0.01133890071387711,validation,False,0.9086389345010035,0.9234172596241562,0.014778325123152691,0.7929104032291104,0.7782707479430631,-0.014639655286047382,0.8157554711821414,0.8088473082665836,-0.006908162915557847,0.7573850493834721,0.7459074788324896,-0.011477570550982419
0,sketch,25,STD,-0.09588954350044354,-0.324906568796012,0.324906568796012,validation,False,0.9086389345010035,0.7964264064295846,-0.1122125280714189,0.7929104032291104,0.5920991177303601,-0.20081128549875038,0.8157554711821414,0.8038727159562987,-0.0118827552258427,0.7573850493834721,0.6614955058830285,-0.09588954350044354
0,sketch,25,O50,-0.044325889637203186,-0.2932857840517894,0.2932857840517894,validation,False,0.9086389345010035,0.8117325288785642,-0.09690640562243935,0.7929104032291104,0.6130405972286794,-0.179869806000431,0.8157554711821414,0.7992458987532224,-0.01650957242891904,0.7573850493834721,0.7130591597462689,-0.044325889637203186
