seed,domain,N,DeltaI,DeltaL,G_cross_recovered,local_sacrifice,cross_recovery_exceeds_local_sacrifice,G_plus_DeltaL
0,photo,25,-0.10979991003751566,-0.011251688909403867,0.10979991003751566,0.011251688909403867,True,0.09854822112811179
0,art_painting,25,-0.13680037520251132,0.010995862078793439,0.13680037520251132,0.0,False,0.14779623728130475
0,cartoon,25,-0.10431446303521474,-0.002350731948023599,0.10431446303521474,0.002350731948023599,True,0.10196373108719115
0,sketch,25,-0.24273631186894795,0.008085828805102446,0.24273631186894795,0.0,False,0.2508221406740504
0,photo,50,-0.2523092527038455,-0.020927973216229967,0.2523092527038455,0.020927973216229967,True,0.23138127948761555
0,art_painting,50,-0.04274365509606093,-0.0273503588395293,0.04274365509606093,0.0273503588395293,True,0.01539329625653163
0,cartoon,50,-0.09399870518746467,0.028456511512925053,0.09399870518746467,0.0,False,0.12245521670038972
0,sketch,50,-0.6342003082230063,0.0997669524162843,0.6342003082230063,0.0,False,0.7339672606392906
0,photo,100,-0.3890664484927041,0.004926108374384119,0.3890664484927041,0.0,False,0.39399255686708823
0,art_painting,100,-0.18173719865293436,-0.0080715292139375,0.18173719865293436,0.0080715292139375,True,0.17366566943899686
0,cartoon,100,-0.35509384322718696,0.046821891869106236,0.35509384322718696,0.0,False,0.4019157350962932
0,sketch,100,-0.9882124156232303,0.09268284368257057,0.9882124156232303,0.0,False,1.0808952593058008
1,photo,25,-0.19959441064556427,0.014954257565095053,0.19959441064556427,0.0,False,0.21454866821065932
1,art_painting,25,-0.1052763927668472,0.011795903901167026,0.1052763927668472,0.0,False,0.11707229666801422
1,cartoon,25,-0.12452353076579492,-0.002379214404595986,0.12452353076579492,0.002379214404595986,True,0.12214431636119893
1,sketch,25,-0.22023463048150238,0.09203565853852036,0.22023463048150238,0.0,False,0.31227028902002274
1,photo,50,-0.2703008373457411,0.014778325123152802,0.2703008373457411,0.0,False,0.2850791624688939
1,art_painting,50,-0.1691779335774215,-0.0013004474961604284,0.1691779335774215,0.0013004474961604284,True,0.16787748608126107
1,cartoon,50,-0.3503177075424936,0.029711417710348464,0.3503177075424936,0.0,False,0.38002912525284205
1,sketch,50,-0.5260255485272178,0.164474186544605,0.5260255485272178,0.0,False,0.6904997350718228
1,photo,100,-0.38088053109416253,0.01460239268121033,0.38088053109416253,0.0,False,0.39548292377537286
1,art_painting,100,-0.3301246895973738,0.005979233798782735,0.3301246895973738,0.0,False,0.3361039233961565
1,cartoon,100,-0.4217305717604996,0.020321807461491592,0.4217305717604996,0.0,False,0.4420523792219912
1,sketch,100,-1.0500656203533283,0.028354794784296034,1.0500656203533283,0.0,False,1.0784204151376242
2,photo,25,-0.16595602012996535,0.004561211457763115,0.16595602012996535,0.0,False,0.17051723158772847
2,art_painting,25,-0.02187767183574696,-0.0215545704205794,0.02187767183574696,0.0215545704205794,True,0.0003231014151675593
2,cartoon,25,-0.13069982393721724,0.012097313865165993,0.13069982393721724,0.0,False,0.14279713780238323
2,sketch,25,-0.26005256636821894,0.03402348926520149,0.26005256636821894,0.0,False,0.29407605563342043
2,photo,50,-0.3116108156066495,-0.00457424349049973,0.3116108156066495,0.00457424349049973,True,0.30703657211614976
2,art_painting,50,-0.15235863510903425,-0.002191104549085665,0.15235863510903425,0.002191104549085665,True,0.15016753055994858
2,cartoon,50,-0.22671611159612648,0.019489250345194553,0.22671611159612648,0.0,False,0.24620536194132103
2,sketch,50,-0.6449008693039806,0.09481467485130968,0.6449008693039806,0.0,False,0.7397155441552903
2,photo,100,-0.34128360808249253,-0.0057376677033437185,0.34128360808249253,0.0057376677033437185,True,0.3355459403791488
2,art_painting,100,-0.27156036761973634,0.017036777991490393,0.27156036761973634,0.0,False,0.28859714561122674
2,cartoon,100,-0.221672024852114,0.020472740299956826,0.221672024852114,0.0,False,0.24214476515207084
2,sketch,100,-1.214813249616908,0.14643089790179253,1.214813249616908,0.0,False,1.3612441475187005
3,photo,25,-0.04182373758384472,-0.010170030192277246,0.04182373758384472,0.010170030192277246,True,0.031653707391567476
3,art_painting,25,0.014554441951044494,-0.02132712734216502,-0.014554441951044494,0.02132712734216502,False,-0.035881569293209514
3,cartoon,25,-0.13315452911067371,-0.0006373069870267978,0.13315452911067371,0.0006373069870267978,True,0.13251722212364692
3,sketch,25,-0.4249623667035224,0.23074252793782013,0.4249623667035224,0.0,False,0.6557048946413425
3,photo,50,-0.279646281462415,-0.024806474313863514,0.279646281462415,0.024806474313863514,True,0.2548398071485515
3,art_painting,50,-0.20930069591153033,-0.004181206391957071,0.20930069591153033,0.004181206391957071,True,0.20511948951957326
3,cartoon,50,-0.11350027039226007,0.007066525086465658,0.11350027039226007,0.0,False,0.12056679547872573
3,sketch,50,-0.9622318064264547,0.16152666710096864,0.9622318064264547,0.0,False,1.1237584735274233
3,photo,100,-0.28483990197701525,0.009710335747202148,0.28483990197701525,0.0,False,0.2945502377242174
3,art_painting,100,-0.1921206987599957,0.007251782619305813,0.1921206987599957,0.0,False,0.19937248137930152
3,cartoon,100,-0.5461169230699259,0.07312795325091448,0.5461169230699259,0.0,False,0.6192448763208404
3,sketch,100,-1.3990562045771648,0.23500948909694686,1.3990562045771648,0.0,False,1.6340656936741116
4,photo,25,-0.10266388087389333,-0.005102040816326481,0.10266388087389333,0.005102040816326481,True,0.09756184005756685
4,art_painting,25,-0.1051893515174479,0.0025539263541418666,0.1051893515174479,0.0,False,0.10774327787158977
4,cartoon,25,-0.10755943248066335,-0.000886361174715633,0.10755943248066335,0.000886361174715633,True,0.10667307130594772
4,sketch,25,-0.15202355467948858,0.04497306556243619,0.15202355467948858,0.0,False,0.19699662024192477
4,photo,50,-0.3578590482358324,-0.000527797325826862,0.3578590482358324,0.000527797325826862,True,0.35733125091000556
4,art_painting,50,-0.19217377752939702,0.01543923452708773,0.19217377752939702,0.0,False,0.20761301205648475
4,cartoon,50,-0.0947455843020466,-0.008304104718184102,0.0947455843020466,0.008304104718184102,True,0.0864414795838625
4,sketch,50,-0.610224951410963,0.2182021922880638,0.610224951410963,0.0,False,0.8284271436990268
4,photo,100,-0.5631407234278804,0.02427867698803654,0.5631407234278804,0.0,False,0.5874194004159169
4,art_painting,100,-0.4612522813075808,0.05362720135003152,0.4612522813075808,0.0,False,0.5148794826576123
4,cartoon,100,-0.04849818476892509,-0.0113721990816118,0.04849818476892509,0.0113721990816118,True,0.03712598568731329
4,sketch,100,-1.1659471424453098,0.03472850743894684,1.1659471424453098,0.0,False,1.2006756498842566
