seed,grouping,label_mode,budget,intervention,competence,score,delta
0,competence,true,20,1,3,0.9455705705705706,0.0
0,competence,true,20,1,4,0.9722222222222222,0.0
0,competence,true,20,2,1,0.9646825396825397,0.0
0,competence,true,20,2,2,0.9722222222222222,0.0
0,competence,true,20,2,3,0.9455705705705706,0.0
0,competence,true,20,2,4,0.9722222222222222,0.0
0,competence,true,20,3,1,0.9646825396825397,0.0
0,competence,true,20,3,2,0.9722222222222222,0.0
0,competence,true,20,3,3,0.9523273273273273,0.006756756756756688
0,competence,true,20,3,4,0.9722222222222222,0.0
0,competence,true,20,4,1,0.9646825396825397,0.0
0,competence,true,20,4,2,0.9722222222222222,0.0
0,competence,true,20,4,3,0.9455705705705706,0.0
0,competence,true,20,4,4,0.9722222222222222,0.0
0,competence,true,40,1,1,0.9716269841269841,0.00694444444444442
0,competence,true,40,1,2,0.9722222222222222,0.0
0,competence,true,40,1,3,0.9316816816816818,-0.01388888888888884
0,competence,true,40,1,4,0.9722222222222222,0.0
0,competence,true,40,2,1,0.9646825396825397,0.0
0,competence,true,40,2,2,0.9722222222222222,0.0
0,competence,true,40,2,3,0.9455705705705706,0.0
0,competence,true,40,2,4,0.9722222222222222,0.0
0,competence,true,40,3,1,0.9646825396825397,0.0
0,competence,true,40,3,2,0.9722222222222222,0.0
0,competence,true,40,3,3,0.9658408408408409,0.020270270270270285
0,competence,true,40,3,4,0.9722222222222222,0.0
0,competence,true,40,4,1,0.9646825396825397,0.0
0,competence,true,40,4,2,0.9722222222222222,0.0
0,competence,true,40,4,3,0.9455705705705706,0.0
0,competence,true,40,4,4,0.9722222222222222,0.0
0,random,pseudo,5,1,1,0.9646825396825397,0.0
0,random,pseudo,5,1,2,0.9722222222222222,0.0
0,random,pseudo,5,1,3,0.9455705705705706,0.0
0,random,pseudo,5,1,4,0.9722222222222222,0.0
0,random,pseudo,5,2,1,0.9646825396825397,0.0
0,random,pseudo,5,2,2,0.9722222222222222,0.0
0,random,pseudo,5,2,3,0.9455705705705706,0.0
0,random,pseudo,5,2,4,0.9722222222222222,0.0
0,random,pseudo,5,3,1,0.9646825396825397,0.0
0,random,pseudo,5,3,2,0.9722222222222222,0.0
