seed,grouping,label_mode,budget,i,j,classes_i,classes_j,actual_examples_i,actual_examples_j,v0,vi,vj,vij,gamma
0,competence,pseudo,5,1,2,"[1,2,6,8]",[7],5,5,0.9585456885456886,0.9585456885456886,0.9585456885456886,0.9585456885456886,0.0
0,competence,pseudo,5,1,3,"[1,2,6,8]","[3,4,5,9]",5,5,0.9585456885456886,0.9585456885456886,0.9585456885456886,0.9585456885456886,0.0
0,competence,pseudo,5,1,4,"[1,2,6,8]",[0],5,5,0.9585456885456886,0.9585456885456886,0.9585456885456886,0.9585456885456886,0.0
0,competence,pseudo,5,2,3,[7],"[3,4,5,9]",5,5,0.9585456885456886,0.9585456885456886,0.9585456885456886,0.9585456885456886,0.0
0,competence,pseudo,5,2,4,[7],[0],5,5,0.9585456885456886,0.9585456885456886,0.9585456885456886,0.9585456885456886,0.0
0,competence,pseudo,5,3,4,"[3,4,5,9]",[0],5,5,0.9585456885456886,0.9585456885456886,0.9585456885456886,0.9585456885456886,0.0
0,competence,pseudo,10,1,2,"[1,2,6,8]",[7],10,10,0.9585456885456886,0.9585456885456886,0.9585456885456886,0.9585456885456886,0.0
0,competence,pseudo,10,1,3,"[1,2,6,8]","[3,4,5,9]",10,10,0.9585456885456886,0.9585456885456886,0.9612483912483911,0.9612483912483911,0.0
0,competence,pseudo,10,1,4,"[1,2,6,8]",[0],10,10,0.9585456885456886,0.9585456885456886,0.9585456885456886,0.9585456885456886,0.0
0,competence,pseudo,10,2,3,[7],"[3,4,5,9]",10,10,0.9585456885456886,0.9585456885456886,0.9612483912483911,0.9612483912483911,0.0
0,competence,pseudo,10,2,4,[7],[0],10,10,0.9585456885456886,0.9585456885456886,0.9585456885456886,0.9585456885456886,0.0
0,competence,pseudo,10,3,4,"[3,4,5,9]",[0],10,10,0.9585456885456886,0.9612483912483911,0.9585456885456886,0.9612483912483911,0.0
0,competence,pseudo,20,1,2,"[1,2,6,8]",[7],20,20,0.9585456885456886,0.9585456885456886,0.9585456885456886,0.9585456885456886,0.0
0,competence,pseudo,20,1,3,"[1,2,6,8]","[3,4,5,9]",20,20,0.9585456885456886,0.9585456885456886,0.9585456885456886,0.9585456885456886,0.0
0,competence,pseudo,20,1,4,"[1,2,6,8]",[0],20,20,0.9585456885456886,0.9585456885456886,0.9585456885456886,0.9585456885456886,0.0
0,competence,pseudo,20,2,3,[7],"[3,4,5,9]",20,20,0.9585456885456886,0.9585456885456886,0.9585456885456886,0.9585456885456886,0.0
0,competence,pseudo,20,2,4,[7],[0],20,20,0.9585456885456886,0.9585456885456886,0.9585456885456886,0.9585456885456886,0.0
0,competence,pseudo,20,3,4,"[3,4,5,9]",[0],20,20,0.9585456885456886,0.9585456885456886,0.9585456885456886,0.9585456885456886,0.0
0,competence,pseudo,40,1,2,"[1,2,6,8]",[7],40,36,0.9585456885456886,0.9583912483912483,0.9585456885456886,0.9583912483912483,0.0
0,competence,pseudo,40,1,3,"[1,2,6,8]","[3,4,5,9]",40,40,0.9585456885456886,0.9583912483912483,0.9612483912483911,0.9556134706134707,-0.005480480480480221
0,competence,pseudo,40,1,4,"[1,2,6,8]",[0],40,36,0.9585456885456886,0.9583912483912483,0.9585456885456886,0.9610939510939511,0.002702702702702786
0,competence,pseudo,40,2,3,[7],"[3,4,5,9]",36,40,0.9585456885456886,0.9585456885456886,0.9612483912483911,0.9585456885456886,-0.002702702702702564
0,competence,pseudo,40,2,4,[7],[0],36,36,0.9585456885456886,0.9585456885456886,0.9585456885456886,0.9585456885456886,0.0
0,competence,pseudo,40,3,4,"[3,4,5,9]",[0],40,36,0.9585456885456886,0.9612483912483911,0.9585456885456886,0.9612483912483911,0.0
0,competence,true,5,1,2,"[1,2,6,8]",[7],5,5,0.9585456885456886,0.9585456885456886,0.9585456885456886,0.9585456885456886,0.0
0,competence,true,5,1,3,"[1,2,6,8]","[3,4,5,9]",5,5,0.9585456885456886,0.9585456885456886,0.9585456885456886,0.9585456885456886,0.0
0,competence,true,5,1,4,"[1,2,6,8]",[0],5,5,0.9585456885456886,0.9585456885456886,0.9585456885456886,0.9585456885456886,0.0
0,competence,true,5,2,3,[7],"[3,4,5,9]",5,5,0.9585456885456886,0.9585456885456886,0.9585456885456886,0.9585456885456886,0.0
0,competence,true,5,2,4,[7],[0],5,5,0.9585456885456886,0.9585456885456886,0.9585456885456886,0.9585456885456886,0.0
0,competence,true,5,3,4,"[3,4,5,9]",[0],5,5,0.9585456885456886,0.9585456885456886,0.9585456885456886,0.9585456885456886,0.0
0,competence,true,10,1,2,"[1,2,6,8]",[7],10,10,0.9585456885456886,0.9585456885456886,0.9585456885456886,0.9585456885456886,0.0
0,competence,true,10,1,3,"[1,2,6,8]","[3,4,5,9]",10,10,0.9585456885456886,0.9585456885456886,0.9666537966537966,0.9666537966537966,0.0
0,competence,true,10,1,4,"[1,2,6,8]",[0],10,10,0.9585456885456886,0.9585456885456886,0.9585456885456886,0.9585456885456886,0.0
0,competence,true,10,2,3,[7],"[3,4,5,9]",10,10,0.9585456885456886,0.9585456885456886,0.9666537966537966,0.9666537966537966,0.0
0,competence,true,10,2,4,[7],[0],10,10,0.9585456885456886,0.9585456885456886,0.9585456885456886,0.9585456885456886,0.0
0,competence,true,10,3,4,"[3,4,5,9]",[0],10,10,0.9585456885456886,0.9666537966537966,0.9585456885456886,0.9666537966537966,0.0
0,competence,true,20,1,2,"[1,2,6,8]",[7],20,20,0.9585456885456886,0.9585456885456886,0.9585456885456886,0.9585456885456886,0.0
0,competence,true,20,1,3,"[1,2,6,8]","[3,4,5,9]",20,20,0.9585456885456886,0.9585456885456886,0.9612483912483911,0.9584706134706135,-0.002777777777777657
0,competence,true,20,1,4,"[1,2,6,8]",[0],20,20,0.9585456885456886,0.9585456885456886,0.9585456885456886,0.9585456885456886,0.0
0,competence,true,20,2,3,[7],"[3,4,5,9]",20,20,0.9585456885456886,0.9585456885456886,0.9612483912483911,0.9612483912483911,0.0
0,competence,true,20,2,4,[7],[0],20,20,0.9585456885456886,0.9585456885456886,0.9585456885456886,0.9585456885456886,0.0
0,competence,true,20,3,4,"[3,4,5,9]",[0],20,20,0.9585456885456886,0.9612483912483911,0.9585456885456886,0.9612483912483911,0.0
0,competence,true,40,1,2,"[1,2,6,8]",[7],40,36,0.9585456885456886,0.9557679107679107,0.9585456885456886,0.9585456885456886,0.002777777777777879
0,competence,true,40,1,3,"[1,2,6,8]","[3,4,5,9]",40,40,0.9585456885456886,0.9557679107679107,0.9666537966537966,0.961098241098241,-0.002777777777777657
0,competence,true,40,1,4,"[1,2,6,8]",[0],40,36,0.9585456885456886,0.9557679107679107,0.9585456885456886,0.9529901329901328,-0.002777777777777879
0,competence,true,40,2,3,[7],"[3,4,5,9]",36,40,0.9585456885456886,0.9585456885456886,0.9666537966537966,0.9666537966537966,0.0
0,competence,true,40,2,4,[7],[0],36,36,0.9585456885456886,0.9585456885456886,0.9585456885456886,0.9585456885456886,0.0
0,competence,true,40,3,4,"[3,4,5,9]",[0],40,36,0.9585456885456886,0.9666537966537966,0.9585456885456886,0.9638760188760189,-0.002777777777777657
0,random,pseudo,5,1,2,"[0,4,6,9]",[3],5,5,0.9585456885456886,0.9585456885456886,0.9585456885456886,0.9585456885456886,0.0
0,random,pseudo,5,1,3,"[0,4,6,9]","[1,2,5,8]",5,5,0.9585456885456886,0.9585456885456886,0.9585456885456886,0.9585456885456886,0.0
0,random,pseudo,5,1,4,"[0,4,6,9]",[7],5,5,0.9585456885456886,0.9585456885456886,0.9585456885456886,0.9585456885456886,0.0
0,random,pseudo,5,2,3,[3],"[1,2,5,8]",5,5,0.9585456885456886,0.9585456885456886,0.9585456885456886,0.9585456885456886,0.0
0,random,pseudo,5,2,4,[3],[7],5,5,0.9585456885456886,0.9585456885456886,0.9585456885456886,0.9585456885456886,0.0
0,random,pseudo,5,3,4,"[1,2,5,8]",[7],5,5,0.9585456885456886,0.9585456885456886,0.9585456885456886,0.9585456885456886,0.0
0,random,pseudo,10,1,2,"[0,4,6,9]",[3],10,10,0.9585456885456886,0.9585456885456886,0.9585456885456886,0.9585456885456886,0.0
0,random,pseudo,10,1,3,"[0,4,6,9]","[1,2,5,8]",10,10,0.9585456885456886,0.9585456885456886,0.9584706134706135,0.9584706134706135,0.0
0,random,pseudo,10,1,4,"[0,4,6,9]",[7],10,10,0.9585456885456886,0.9585456885456886,0.9585456885456886,0.9585456885456886,0.0
0,random,pseudo,10,2,3,[3],"[1,2,5,8]",10,10,0.9585456885456886,0.9585456885456886,0.9584706134706135,0.9584706134706135,0.0
0,random,pseudo,10,2,4,[3],[7],10,10,0.9585456885456886,0.9585456885456886,0.9585456885456886,0.9585456885456886,0.0
0,random,pseudo,10,3,4,"[1,2,5,8]",[7],10,10,0.9585456885456886,0.9584706134706135,0.9585456885456886,0.9584706134706135,0.0
