seed,class,profile_0,profile_1,profile_2,profile_3,profile_4,profile_5,profile_6,profile_7,profile_8,profile_9
0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0.0,0.972972972972973,0.0,0.0,0.0,0.0,0.0,0.0,0.02702702702702703,0.0
0,2,0.0,0.08333333333333333,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,3,0.0,0.0,0.0,0.9444444444444444,0.0,0.027777777777777776,0.0,0.0,0.0,0.027777777777777776
0,4,0.0,0.0,0.0,0.0,0.9459459459459459,0.0,0.0,0.0,0.0,0.05405405405405406
0,5,0.0,0.0,0.0,0.027777777777777776,0.027777777777777776,0.9166666666666666,0.0,0.027777777777777776,0.0,0.0
0,6,0.02702702702702703,0.02702702702702703,0.0,0.0,0.0,0.0,0.9459459459459459,0.0,0.0,0.0
0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9722222222222222,0.0,0.027777777777777776
0,8,0.0,0.0,0.029411764705882353,0.0,0.0,0.029411764705882353,0.0,0.0,0.9117647058823529,0.029411764705882353
0,9,0.0,0.0,0.0,0.027777777777777776,0.0,0.05555555555555555,0.0,0.0,0.0,0.9166666666666666
1,0,0.9714285714285714,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.0,0.0,0.0
1,1,0.0,0.9444444444444444,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.027777777777777776,0.0
1,2,0.0,0.05714285714285714,0.9428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4,0.0,0.02702702702702703,0.0,0.0,0.918918918918919,0.0,0.0,0.02702702702702703,0.0,0.02702702702702703
1,5,0.0,0.02702702702702703,0.0,0.0,0.0,0.9459459459459459,0.0,0.0,0.0,0.02702702702702703
1,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9444444444444444,0.0,0.05555555555555555
1,8,0.0,0.02857142857142857,0.0,0.05714285714285714,0.02857142857142857,0.0,0.0,0.0,0.8571428571428571,0.02857142857142857
1,9,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.027777777777777776,0.9444444444444444
2,0,0.9166666666666666,0.0,0.027777777777777776,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0
2,1,0.0,0.9166666666666666,0.027777777777777776,0.0,0.027777777777777776,0.0,0.0,0.0,0.027777777777777776,0.0
2,2,0.0,0.0,0.9714285714285714,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.0
2,3,0.0,0.0,0.0,0.918918918918919,0.0,0.05405405405405406,0.0,0.0,0.02702702702702703,0.0
2,4,0.0,0.05405405405405406,0.0,0.0,0.9459459459459459,0.0,0.0,0.0,0.0,0.0
2,5,0.0,0.027777777777777776,0.0,0.027777777777777776,0.0,0.9166666666666666,0.0,0.0,0.0,0.027777777777777776
2,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9722222222222222,0.0,0.027777777777777776
2,8,0.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.9714285714285714,0.0
2,9,0.027777777777777776,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9166666666666666
3,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,0.0,0.972972972972973,0.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.0
3,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,0.0,0.0,0.027777777777777776,0.8888888888888888,0.0,0.027777777777777776,0.0,0.0,0.027777777777777776,0.027777777777777776
3,4,0.02702702702702703,0.0,0.0,0.0,0.972972972972973,0.0,0.0,0.0,0.0,0.0
3,5,0.0,0.0,0.027777777777777776,0.027777777777777776,0.0,0.8888888888888888,0.0,0.0,0.0,0.05555555555555555
3,6,0.0,0.0,0.0,0.0,0.0,0.0,0.9722222222222222,0.0,0.027777777777777776,0.0
3,7,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.9444444444444444,0.0,0.027777777777777776
3,8,0.0,0.02857142857142857,0.02857142857142857,0.0,0.02857142857142857,0.0,0.0,0.0,0.8857142857142857,0.02857142857142857
3,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,0,0.9722222222222222,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0
