scope,N,intervention_domain,affected_domain,n,mean,std,median,min,max,n_positive,n_zero,n_negative,fraction_positive,fraction_zero,fraction_negative
matrix_all_N,ALL,art_painting,photo,15,0.0040332757272214005,0.018275016900625947,0.0047842273728179174,-0.03413888111170815,0.02941476924473907,9,0,6,0.6,0.0,0.4
matrix_all_N,ALL,art_painting,art_painting,15,-0.016958078803166615,0.03215789065653236,-0.009242971375089226,-0.08220961073615107,0.019275565508598547,6,0,9,0.4,0.0,0.6
matrix_all_N,ALL,art_painting,cartoon,15,-0.08975387308325879,0.04551309122940083,-0.09599270560828876,-0.16967977226956166,-0.0275014417373034,0,0,15,0.0,0.0,1.0
matrix_all_N,ALL,art_painting,sketch,15,-0.14078764534058227,0.05808851731398412,-0.1403568222709778,-0.22030656928726972,-0.0425270659862943,0,0,15,0.0,0.0,1.0
matrix_all_N,ALL,cartoon,photo,15,-0.05180189745103141,0.030185946000364502,-0.05323375178770051,-0.10369231118476296,0.009852216748768461,1,0,14,0.06666666666666667,0.0,0.9333333333333333
matrix_all_N,ALL,cartoon,art_painting,15,-0.10435751652038021,0.06776866211218195,-0.1019328572644147,-0.2301268451868833,-0.018067131653422885,0,0,15,0.0,0.0,1.0
matrix_all_N,ALL,cartoon,cartoon,15,-0.021057929734644102,0.026201670898515796,-0.024219628278252636,-0.06531859860239886,0.029951764834003414,3,0,12,0.2,0.0,0.8
matrix_all_N,ALL,cartoon,sketch,15,-0.06570277990301306,0.07049814452932632,-0.04601720303532297,-0.18295357452542005,0.022504065050229505,3,0,12,0.2,0.0,0.8
matrix_all_N,ALL,photo,photo,15,0.021545327231539412,0.025502907040481644,0.019420671494404185,-0.023441053593604044,0.0539034301150938,10,0,5,0.6666666666666666,0.0,0.3333333333333333
matrix_all_N,ALL,photo,art_painting,15,-0.040233310277313285,0.03958731251656549,-0.03386292945839153,-0.1410413026168834,0.010840832056053462,2,0,13,0.13333333333333333,0.0,0.8666666666666667
matrix_all_N,ALL,photo,cartoon,15,-0.13449304392723782,0.05513384159332019,-0.13532713929241957,-0.23421164076758494,-0.034598689446526554,0,0,15,0.0,0.0,1.0
matrix_all_N,ALL,photo,sketch,15,-0.21603846994707485,0.06814903034004655,-0.20818581385790924,-0.31629963930676097,-0.09795880906217003,0,0,15,0.0,0.0,1.0
matrix_all_N,ALL,sketch,photo,15,-0.31816897654865767,0.1752341314118605,-0.31164672765657986,-0.5749308671682738,-0.09737766074171617,0,0,15,0.0,0.0,1.0
