update_id,seed,domain,N,c,B,rho,DeltaV,Omega,H,distance_to_H0,S_F0,S_Fk,S_D,DeltaV_local,DeltaV_cross,DeltaV_contribution_photo,DeltaV_contribution_art_painting,DeltaV_contribution_cartoon,DeltaV_contribution_sketch,current_preferred_action,total_value_preferred_action
seed4_cartoon_N25,4,cartoon,25,0.02,2,0.013566998107313433,0.007487941208500937,0.014975882417001873,0.0014088843096884407,0.0014088843096884407,"{""art_painting"": 0.7301804414795152, ""cartoon"": 0.7856477012163212, ""photo"": 0.8854339288551906, ""sketch"": 0.7648913010753592}","{""art_painting"": 0.6863430335433843, ""cartoon"": 0.8155994660503246, ""photo"": 0.8565129054959024, ""sketch"": 0.7603396557664972}","{""art_painting"": 0.7597156143859591, ""cartoon"": 0.7920807031090078, ""photo"": 0.9465903157703571, ""sketch"": 0.8005712619144759}",0.007487941208500853,0.0,0.0,0.0,0.007487941208500853,0.0,F,D+learning
seed4_cartoon_N25,4,cartoon,25,0.02,5,0.013566998107313433,0.007487941208500937,0.037439706042504683,0.02387270793519125,0.02387270793519125,"{""art_painting"": 0.7301804414795152, ""cartoon"": 0.7856477012163212, ""photo"": 0.8854339288551906, ""sketch"": 0.7648913010753592}","{""art_painting"": 0.6863430335433843, ""cartoon"": 0.8155994660503246, ""photo"": 0.8565129054959024, ""sketch"": 0.7603396557664972}","{""art_painting"": 0.7597156143859591, ""cartoon"": 0.7920807031090078, ""photo"": 0.9465903157703571, ""sketch"": 0.8005712619144759}",0.007487941208500853,0.0,0.0,0.0,0.007487941208500853,0.0,F,D+learning
seed4_cartoon_N25,4,cartoon,25,0.02,10,0.013566998107313433,0.007487941208500937,0.07487941208500937,0.061312413977695934,0.061312413977695934,"{""art_painting"": 0.7301804414795152, ""cartoon"": 0.7856477012163212, ""photo"": 0.8854339288551906, ""sketch"": 0.7648913010753592}","{""art_painting"": 0.6863430335433843, ""cartoon"": 0.8155994660503246, ""photo"": 0.8565129054959024, ""sketch"": 0.7603396557664972}","{""art_painting"": 0.7597156143859591, ""cartoon"": 0.7920807031090078, ""photo"": 0.9465903157703571, ""sketch"": 0.8005712619144759}",0.007487941208500853,0.0,0.0,0.0,0.007487941208500853,0.0,F,D+learning
seed4_cartoon_N50,4,cartoon,50,0.02,10,0.013566998107313433,0.0026313505098248813,0.026313505098248813,0.01274650699093538,0.01274650699093538,"{""art_painting"": 0.7301804414795152, ""cartoon"": 0.7856477012163212, ""photo"": 0.8854339288551906, ""sketch"": 0.7648913010753592}","{""art_painting"": 0.6401707399250284, ""cartoon"": 0.7961731032556205, ""photo"": 0.83220017706749, ""sketch"": 0.7362427023456236}","{""art_painting"": 0.7597156143859591, ""cartoon"": 0.7920807031090078, ""photo"": 0.9465903157703571, ""sketch"": 0.8005712619144759}",0.0026313505098248258,0.0,0.0,0.0,0.0026313505098248258,0.0,F,D+learning
