b,delta,case,s,s_star,ell,h,dV_analytic,dV_numeric,sign_analytic,sign_numeric
0.5,0.3,below,0.9500000000000002,1.0000000000000002,0.585,0.3,-0.007319999999999952,-0.007320000022792428,-1,-1
0.5,0.3,boundary,1.0000000000000002,1.0000000000000002,0.6000000000000001,0.3,0.0,-2.7755575615628914e-11,0,0
0.5,0.3,above,1.0500000000000003,1.0000000000000002,0.615,0.3,0.007320000000000061,0.007319999981159064,1,1
0.9,0.3,below,0.02692307692307691,0.07692307692307691,0.3080769230769231,0.4200000000000001,-0.019031999999999997,-0.01903200001762695,-1,-1
0.9,0.3,boundary,0.07692307692307691,0.07692307692307691,0.32307692307692304,0.4200000000000001,1.354472090042691e-17,0.0,0,0
0.9,0.3,above,0.12692307692307692,0.07692307692307691,0.33807692307692305,0.4200000000000001,0.019032000000000025,0.019031999989871373,1,1
1.1,0.3,below,-0.10882352941176476,-0.058823529411764754,0.26735294117647057,0.48000000000000004,-0.024888000000000007,-0.024887999994227528,-1,-1
1.1,0.3,boundary,-0.058823529411764754,-0.058823529411764754,0.2823529411764706,0.48000000000000004,0.0,1.3877787807814457e-11,0,0
1.1,0.3,above,-0.00882352941176475,-0.058823529411764754,0.29735294117647054,0.48000000000000004,0.024888,0.024888000008105315,1,1
