b,delta,g,h,V,dV_analytic,dV_numeric,sign_analytic,sign_numeric,switchable
0.0,0.152,0.3,0.29799999999999993,0.18359359999999994,-0.6831999999999999,-0.6832000000039917,-1.0,-1.0,True
0.0,0.15617877094972066,0.3,0.2938212290502793,0.1807386636871508,-0.6831999999999999,-0.6832000000178695,-1.0,-1.0,True
0.0,0.16035754189944135,0.3,0.2896424581005586,0.17788372737430164,-0.6831999999999999,-0.6831999999762361,-1.0,-1.0,True
0.0,0.164536312849162,0.3,0.2854636871508379,0.17502879106145244,-0.6831999999999999,-0.6831999999901139,-1.0,-1.0,True
0.0,0.16871508379888267,0.3,0.2812849162011173,0.1721738547486033,-0.6831999999999999,-0.6832000000178695,-1.0,-1.0,True
0.0,0.17289385474860336,0.3,0.2771061452513966,0.16931891843575414,-0.6831999999999999,-0.6831999999901139,-1.0,-1.0,True
0.0,0.17707262569832402,0.3,0.2729273743016759,0.16646398212290497,-0.6831999999999999,-0.6832000000039917,-1.0,-1.0,True
0.0,0.18125139664804468,0.3,0.2687486033519553,0.16360904581005584,-0.6831999999999999,-0.6832000000178695,-1.0,-1.0,True
0.0,0.18543016759776537,0.3,0.2645698324022346,0.16075410949720664,-0.6831999999999999,-0.6831999999762361,-1.0,-1.0,True
0.0,0.18960893854748603,0.3,0.2603910614525139,0.15789917318435748,-0.6831999999999999,-0.6832000000039917,-1.0,-1.0,True
0.0,0.1937877094972067,0.3,0.25621229050279326,0.15504423687150834,-0.6831999999999999,-0.6832000000178695,-1.0,-1.0,True
0.0,0.19796648044692738,0.3,0.25203351955307257,0.15218930055865917,-0.6831999999999999,-0.6831999999901139,-1.0,-1.0,True
0.0,0.20214525139664805,0.3,0.2478547486033519,0.14933436424581,-0.6831999999999999,-0.6832000000039917,-1.0,-1.0,True
0.0,0.2063240223463687,0.3,0.24367597765363125,0.14647942793296087,-0.6831999999999999,-0.6832000000039917,-1.0,-1.0,True
0.0,0.2105027932960894,0.3,0.23949720670391056,0.14362449162011168,-0.6831999999999999,-0.6832000000039917,-1.0,-1.0,True
0.0,0.21468156424581003,0.3,0.23531843575418993,0.14076955530726254,-0.6831999999999999,-0.6832000000039917,-1.0,-1.0,True
0.0,0.21886033519553072,0.3,0.23113966480446924,0.13791461899441337,-0.6831999999999999,-0.6831999999901139,-1.0,-1.0,True
0.0,0.2230391061452514,0.3,0.22696089385474855,0.1350596826815642,-0.6831999999999999,-0.6832000000039917,-1.0,-1.0,True
